"","week","yards","preds"
"1",1,18,0.9854859601083
"2",2,18,0.984716573074264
"3",3,18,0.98390706696959
"4",4,18,0.983055422147289
"5",5,18,0.982159525131691
"6",6,18,0.981217165116497
"7",7,18,0.980226030429678
"8",8,18,0.979183704978066
"9",9,18,0.978087664686387
"10",10,18,0.976935273947602
"11",11,18,0.975723782103649
"12",12,18,0.974450319978212
"13",13,18,0.97311189648577
"14",14,18,0.971705395344098
"15",15,18,0.970227571920468
"16",16,18,0.968675050245159
"17",17,18,0.967044320229377
"18",1,19,0.983782006571282
"19",2,19,0.982923858362447
"20",3,19,0.982021132498672
"21",4,19,0.981071603263788
"22",5,19,0.980072943543326
"23",6,19,0.979022721267283
"24",7,19,0.977918395849727
"25",8,19,0.97675731464242
"26",9,19,0.975536709421927
"27",10,19,0.974253692932217
"28",11,19,0.97290525550743
"29",12,19,0.971488261802431
"30",13,19,0.969999447661894
"31",14,19,0.968435417162026
"32",15,19,0.966792639862599
"33",16,19,0.965067448310762
"34",17,19,0.963256035842101
"35",1,20,0.981881686126539
"36",2,20,0.980924935276192
"37",3,20,0.979918695762916
"38",4,20,0.97886051945967
"39",5,20,0.977747849189968
"40",6,20,0.976578015185229
"41",7,20,0.975348231578747
"42",8,20,0.974055592958677
"43",9,20,0.972697071005139
"44",10,20,0.971269511239526
"45",11,20,0.969769629917227
"46",12,20,0.968194011098426
"47",13,20,0.966539103935165
"48",14,20,0.964801220216771
"49",15,20,0.962976532219701
"50",16,20,0.961061070912124
"51",17,20,0.959050724567976
"52",1,21,0.979763278662365
"53",2,21,0.978697090755546
"54",3,21,0.977576015521898
"55",4,21,0.976397365993506
"56",5,21,0.975158338582726
"57",6,21,0.973856009646119
"58",7,21,0.972487332136532
"59",8,21,0.971049132371848
"60",9,21,0.969538106952146
"61",10,21,0.967950819860414
"62",11,21,0.966283699785612
"63",12,21,0.964533037710736
"64",13,21,0.962694984812577
"65",14,21,0.960765550724162
"66",15,21,0.958740602215237
"67",16,21,0.956615862350814
"68",17,21,0.954386910192414
"69",1,22,0.977402885601433
"70",2,22,0.976215357424103
"71",3,22,0.974967020380145
"72",4,22,0.973654932519086
"73",5,22,0.972276027993678
"74",6,22,0.970827113848814
"75",7,22,0.9693048669639
"76",8,22,0.967705831184373
"77",9,22,0.966026414681712
"78",10,22,0.964262887585193
"79",11,22,0.962411379932719
"80",12,22,0.960467879992345
"81",13,22,0.958428233010567
"82",14,22,0.956288140448056
"83",15,22,0.954043159768233
"84",16,22,0.951688704848855
"85",17,22,0.949220047091623
"86",1,23,0.974774266854704
"87",2,23,0.973452351037898
"88",3,23,0.97206314760286
"89",4,23,0.970603444252574
"90",5,23,0.969069898081111
"91",6,23,0.967459032736829
"92",7,23,0.96576723582031
"93",8,23,0.963990756560874
"94",9,23,0.962125703819634
"95",10,23,0.960168044471377
"96",11,23,0.958113602222017
"97",12,23,0.955958056922999
"98",13,23,0.95369694444877
"99",14,23,0.951325657208214
"100",15,23,0.948839445365766
"101",16,23,0.946233418852676
"102",17,23,0.943502550253528
"103",1,24,0.971848679924341
"104",2,24,0.970378112097806
"105",3,24,0.968833188363587
"106",4,24,0.967210412114289
"107",5,24,0.965506150327189
"108",6,24,0.963716631286587
"109",7,24,0.961837942640266
"110",8,24,0.959866029843004
"111",9,24,0.957796695044573
"112",10,24,0.955625596484301
