"","gene1","gene2","gene3","gene4","gene5","gene6","gene7","gene8","gene9","gene10","gene11","gene12","gene13","gene14","gene15","gene16","gene17","gene18","gene19","gene20","gene21","gene22","gene23","gene24","gene25","gene26","gene27","gene28","gene29","gene30","gene31","gene32","gene33","gene34","gene35","gene36","gene37","gene38","gene39","gene40","gene41","gene42","gene43","gene44","gene45","gene46","gene47","gene48","gene49","gene50","gene51","gene52","gene53","gene54","gene55","gene56","gene57","gene58","gene59","gene60","gene61","gene62","gene63","gene64","gene65","gene66","gene67","gene68","gene69","gene70","gene71","gene72","gene73","gene74","gene75","gene76","gene77","gene78","gene79","gene80","gene81","gene82","gene83","gene84","gene85","gene86","gene87","gene88","gene89","gene90","gene91","gene92","gene93","gene94","gene95","gene96","gene97","gene98","gene99","gene100"
"wt1",71,221,771,264,718,368,517,296,401,476,913,333,921,105,247,430,271,603,545,139,530,470,55,728,888,387,111,321,890,106,758,474,555,160,48,930,138,150,1014,738,876,51,538,743,305,352,965,486,602,52,840,466,416,66,557,164,70,487,156,969,1003,741,210,835,722,502,922,564,950,896,699,706,388,479,26,215,650,392,572,68,55,912,988,716,536,229,442,949,390,556,434,441,532,114,170,386,68,50,56,534
"wt2",79,243,756,265,709,338,512,296,355,506,953,328,886,97,250,391,257,567,567,123,526,473,72,753,898,405,100,308,878,111,743,484,561,148,48,887,172,155,978,803,791,52,539,724,304,316,958,478,579,43,853,468,416,53,566,124,70,518,148,1032,956,762,211,760,697,489,942,530,1008,833,668,701,439,454,39,211,681,430,577,80,46,834,961,715,506,256,468,912,397,558,479,409,561,114,149,391,85,79,47,535
"wt3",83,265,732,250,702,361,526,291,393,580,924,325,906,119,277,388,245,578,555,141,494,483,83,718,890,399,84,323,917,90,795,465,594,164,44,875,168,138,976,749,888,58,516,732,325,352,987,474,618,48,848,516,446,53,565,126,93,517,167,970,1002,718,218,823,721,512,927,586,952,966,732,668,384,469,51,236,679,386,576,80,55,813,937,739,525,247,440,898,380,565,473,425,568,103,170,403,87,74,54,508
"wt4",80,243,721,237,742,368,477,278,396,504,981,333,944,102,268,458,266,585,550,114,536,532,65,720,920,408,78,328,801,116,743,501,581,153,44,940,173,145,1020,734,842,45,495,755,298,352,902,458,602,55,889,522,425,53,576,125,82,463,155,971,935,714,232,823,691,448,999,557,952,957,744,711,425,398,38,189,634,435,582,59,57,870,997,710,513,216,478,985,396,556,466,417,529,116,180,420,89,59,45,533
"wt5",91,238,722,222,703,349,479,305,386,553,937,337,964,116,270,393,268,633,524,137,476,506,84,726,923,379,83,307,874,121,751,511,619,140,57,884,173,164,994,708,825,52,524,738,311,327,1002,470,603,55,901,525,425,64,555,115,67,502,145,1048,918,759,206,764,671,521,989,537,1002,954,729,700,404,448,39,225,660,430,569,69,51,909,1014,705,540,237,456,969,412,540,446,424,586,110,159,410,104,60,45,522
"ko1",125,173,896,282,878,917,558,421,837,735,666,484,646,379,108,966,540,218,740,680,322,939,811,672,278,658,712,79,70,537,830,414,591,583,840,535,349,204,821,455,822,133,581,276,94,836,856,759,595,274,941,248,483,528,572,164,394,416,893,18,423,450,731,457,44,141,759,804,896,411,1024,232,268,16,939,576,985,990,909,59,206,727,191,46,465,269,106,572,223,924,746,871,533,36,902,478,74,748,199,935
"ko2",109,203,889,291,953,923,553,452,908,759,692,502,595,388,102,1003,515,217,767,694,322,894,770,634,333,622,698,72,74,500,868,366,607,551,827,524,368,229,851,430,817,146,577,263,91,814,801,799,576,269,997,260,447,535,573,164,405,380,836,15,428,443,855,434,45,167,852,835,881,378,976,263,276,11,991,577,904,973,880,42,207,717,187,49,454,247,126,587,211,916,829,860,504,27,879,509,57,788,195,907
"ko3",127,177,900,284,873,929,595,446,873,724,654,477,661,398,94,978,568,213,774,686,311,950,808,632,296,688,679,80,68,556,857,392,611,567,825,560,377,203,782,448,839,140,547,258,103,860,801,798,614,317,911,256,506,542,515,151,368,387,849,15,368,429,811,499,56,160,832,856,860,394,999,221,266,18,996,577,967,983,824,45,235,670,195,38,473,222,102,579,189,982,778,950,501,31,914,466,66,777,172,923
"ko4",126,187,913,267,899,958,604,426,876,725,625,477,573,341,86,966,548,207,776,692,355,944,759,680,286,619,669,72,93,545,927,383,590,566,875,476,374,235,789,446,854,117,536,278,98,823,844,826,615,295,964,245,526,509,555,167,381,372,814,22,426,432,782,438,51,160,791,834,882,358,997,239,233,24,985,552,933,1002,845,55,246,722,187,46,449,243,101,589,208,890,834,896,496,40,859,488,49,792,182,944
"ko5",129,189,882,298,896,900,582,447,877,758,642,468,625,444,77,1012,543,198,777,663,308,888,854,656,272,630,699,78,68,537,900,389,635,560,866,511,365,204,842,432,887,133,622,269,91,880,822,825,602,310,952,240,475,495,599,152,366,374,871,15,418,467,730,429,43,148,844,751,902,432,985,246,258,17,934,591,947,1022,900,42,238,687,183,49,514,250,101,583,203,922,856,884,513,32,871,477,49,761,171,975
