order,treat,outcome
1,A,26.83985877501964
2,A,26.87192912683716
3,A,26.554109587625724
4,A,25.681943704514893
5,A,25.428338023456185
6,A,26.492609541790436
7,A,26.613544505355225
8,A,26.183658941226405
9,A,25.087781570606367
10,A,24.872209568549273
11,B,25.469025142188528
12,B,25.17551339444684
13,B,25.568108827326324
14,B,25.506229509736045
15,B,21.487659182641377
16,B,21.076721161865677
17,B,20.201202639346697
18,B,20.65461284901191
19,B,20.81658089145192
20,B,20.060432495553087
21,C,19.627239714143577
22,C,20.279705720356493
23,C,21.065607106599973
24,C,21.067506756020045
25,C,21.38172687184131
26,C,19.974561831950233
27,C,20.042207539987253
28,C,20.713395093062665
29,C,18.97204505978515
30,C,18.69786453210986
31,D,19.464419953919638
32,D,17.415957922966758
33,D,17.720474354593648
34,D,17.268424895020935
35,D,16.458465166034173
36,D,16.51102751182614
37,D,16.489285797217487
38,D,17.198159374900094
39,D,18.443845283545556
40,D,17.400541407366447
41,E,17.207184767423527
42,E,17.033757547295266
43,E,15.424190473250672
44,E,15.786132780725024
45,E,15.688199032058556
46,E,15.032819776639062
47,E,14.59281894578796
48,E,13.493117979163241
49,E,14.203264180641472
50,E,12.968900579401707
