Farmaco;Estacion;Escala
A;Primavera;23
A;Primavera;28
A;Primavera;32
A;Primavera;12
B;Primavera;56
B;Primavera;58
B;Primavera;53
B;Primavera;56
C;Primavera;42
C;Primavera;41
C;Primavera;36
C;Primavera;37
A;Verano;32
A;Verano;41
A;Verano;43
A;Verano;48
B;Verano;64
B;Verano;58
B;Verano;67
B;Verano;72
C;Verano;51
C;Verano;53
C;Verano;55
C;Verano;60
A;Otoño;18
A;Otoño;16
A;Otoño;21
A;Otoño;10
B;Otoño;48
B;Otoño;50
B;Otoño;47
B;Otoño;47
C;Otoño;28
C;Otoño;31
C;Otoño;23
C;Otoño;33
A;Invierno;30
A;Invierno;40
A;Invierno;33
A;Invierno;47
B;Invierno;60
B;Invierno;61
B;Invierno;63
B;Invierno;59
C;Invierno;56
C;Invierno;60
C;Invierno;61
C;Invierno;55
