Metodo;Sol;Reduccio
1;Granitic;61
1;Granitic;58
1;Granitic;55
1;Granitic;59
1;Granitic;60
1;Granitic;57
1;Sedimentari;67
1;Sedimentari;64
1;Sedimentari;61
1;Sedimentari;59
1;Sedimentari;62
1;Sedimentari;61
2;Granitic;64
2;Granitic;65
2;Granitic;61
2;Granitic;66
2;Granitic;64
2;Granitic;65
2;Sedimentari;64
2;Sedimentari;66
2;Sedimentari;65
2;Sedimentari;65
2;Sedimentari;62
2;Sedimentari;64
3;Granitic;31
3;Granitic;26
3;Granitic;33
3;Granitic;29
3;Granitic;28
3;Granitic;33
3;Sedimentari;49
3;Sedimentari;45
3;Sedimentari;43
3;Sedimentari;46
3;Sedimentari;45
3;Sedimentari;41
