"","canc1","canc2","canc3","canc4","canc5","canc6","canc7","canc8","canc9","canc10","canc11","canc12","canc13","canc14","canc15","canc16","canc17","canc18","canc19","canc20","canc21","canc22","canc23","canc24","canc25"
"gene1",0.3,-1.66,-0.49,2.29,-0.94,-0.46,-0.03,-0.07,2.22,-0.95,-0.26,0.27,-2.22,-0.61,0.74,0.93,0.59,0.72,0.88,-2,0.55,-1.03,-1.12,0.3,0.16
"gene2",-1.22,0.29,-0.28,0.01,0.4,-1.61,1.42,1.35,-0.11,0.49,1.85,-0.58,-1.35,0.07,1,1.75,-0.73,-1.27,1.63,0.08,1.09,0.28,0.09,-0.97,1.04
"gene3",0.42,-0.34,-1.84,-1.2,-0.08,0.03,0.9,-0.07,-0.04,-0.31,2.39,-0.12,1.25,-0.36,-1.6,0.99,-0.46,1.17,0.27,-0.7,1.55,0.43,1.01,0.28,1.06
"gene4",-0.26,-0.27,-0.69,-1.7,0.2,-0.83,0.78,-1.89,-0.33,1.37,-1.7,-0.38,0.37,-0.3,-0.29,-1.96,0.64,-0.31,-0.49,1.47,0.33,-0.04,-0.76,2.05,0.5
"gene5",0.59,-0.35,-0.09,-0.28,-0.63,1.68,-0.26,-0.94,-0.62,-0.31,-0.89,-2.79,-0.24,-0.19,-0.14,0.43,1.2,0,-0.65,0.67,0.47,-0.48,0.02,-1.09,0.35
"gene6",0.25,-0.24,-1.73,-0.56,0.73,-0.17,0.02,1.9,-0.18,-0.59,0.15,0.27,-0.22,-0.79,-0.18,0.47,-2.11,-1.17,0.22,-0.88,0.25,1.3,0.29,-0.66,1.33
"gene7",-1.64,0.78,0.89,-0.45,0.16,0.84,0.8,-1.18,0.51,0.78,-1.03,0.99,-0.69,-1.11,1.37,-1.33,-0.98,0.31,-0.05,0.3,-0.72,-1.6,0.27,-0.36,1.79
"gene8",-0.53,-0.48,-1.3,-1.77,0.83,1.5,0.19,0,-0.86,1.28,-0.72,-0.52,1.41,0.95,-1,-0.93,-0.27,-0.03,0.58,-1.44,-1.6,-0.62,-1.03,0.41,-0.57
"gene9",0.85,-0.34,0.56,-0.57,0.51,0.21,-0.03,0.44,-0.71,-0.23,-0.06,-0.03,2.68,-0.82,0.13,-0.66,-0.43,0.71,-1.73,-0.46,-2.66,-0.85,1.15,0.56,-0.51
"gene10",0.16,1.76,1.09,-1.71,0.85,0.53,-0.12,-1.73,1.85,-1.23,0.07,-0.67,-0.72,0.69,0.47,-0.69,0.66,-0.49,2.9,-1.57,1.15,1.66,1.36,1.17,0.73
"gene11",1.92,-0.25,-0.17,-0.66,-0.66,-0.22,-0.27,1.02,0.03,-0.31,-1.59,0.61,1.18,-1.4,-0.34,-1.15,0.45,-1.34,-0.65,-0.65,-1.12,1.07,1.33,1.11,-0.26
"gene12",0.15,-0.53,-1.29,0.04,-0.16,0.98,-0.03,1.62,-0.18,0.36,-2.32,0.59,0.13,-0.27,-0.94,-1.03,0.59,2.16,-0.08,1.56,-0.33,0.3,0.5,1.09,1.42
"gene13",1.71,0.85,0.76,1.1,-1.68,0.21,-1.13,0.17,0.2,-0.74,1.04,0.17,-0.5,-1.5,-0.65,-2.55,-1,0.58,-1.98,1.02,-0.77,0.6,0.43,-0.21,1.61
"gene14",0.78,0.76,-0.29,-0.13,-0.91,0.57,-2.12,1.46,0.45,-1.22,-0.28,-0.43,-1.31,0.04,0.83,0.77,0.45,-0.65,-1.81,-0.88,0.72,-2.27,-0.4,0.12,1.46
"gene15",-0.3,0.13,1,-0.65,-1.31,-0.34,1.12,1.24,1.83,1.31,2.51,0.71,0.77,1.85,0.58,0.44,0.04,0.26,0.29,0.35,-0.26,0.44,2.55,-0.18,0.33
"gene16",-0.9,-0.03,-0.11,0.43,0.48,-1.27,-0.8,1.31,0.2,-1.87,-1,1.15,0.43,-0.07,1.73,-1.09,1.06,1.16,-2.16,0.58,-0.07,-0.14,-1.2,1.6,0.6
