grup,data,hora_inici,hora_final,capsula,pes_mg
G01,2026-04-21,08:00,08:20,1,302.4
G01,2026-04-21,08:00,08:20,2,302.2
G01,2026-04-21,08:00,08:20,3,304.6
G01,2026-04-21,08:00,08:20,4,296.1
G01,2026-04-21,08:00,08:20,5,299.7
G01,2026-04-21,08:00,08:20,6,300.0
G01,2026-04-21,08:00,08:20,7,300.7
G01,2026-04-21,08:00,08:20,8,298.7
G01,2026-04-21,08:00,08:20,9,299.3
G01,2026-04-21,08:00,08:20,10,297.4
G01,2026-04-21,08:00,08:20,11,299.9
G01,2026-04-21,08:00,08:20,12,302.3
G01,2026-04-21,08:00,08:20,13,297.1
G01,2026-04-21,08:00,08:20,14,299.0
G01,2026-04-21,08:00,08:20,15,304.4
G01,2026-04-21,08:00,08:20,16,298.3
G01,2026-04-21,08:00,08:20,17,298.6
G01,2026-04-21,08:00,08:20,18,298.0
G01,2026-04-21,08:00,08:20,19,300.0
G01,2026-04-21,08:00,08:20,20,301.3
G01,2026-04-21,08:00,08:20,21,299.8
G01,2026-04-21,08:00,08:20,22,296.5
G01,2026-04-21,08:00,08:20,23,297.8
G01,2026-04-21,08:00,08:20,24,292.5
G01,2026-04-21,08:00,08:20,25,298.5
G01,2026-04-21,08:00,08:20,26,296.6
G01,2026-04-21,08:00,08:20,27,298.7
G01,2026-04-21,08:00,08:20,28,292.6
G01,2026-04-21,08:00,08:20,29,297.4
G01,2026-04-21,08:00,08:20,30,298.3
G01,2026-04-21,08:00,08:20,31,295.8
G01,2026-04-21,08:00,08:20,32,298.7
G01,2026-04-21,08:00,08:20,33,295.7
G01,2026-04-21,08:00,08:20,34,305.7
G01,2026-04-21,08:00,08:20,35,301.2
G01,2026-04-21,08:00,08:20,36,293.4
G01,2026-04-21,08:00,08:20,37,300.6
G01,2026-04-21,08:00,08:20,38,298.0
G01,2026-04-21,08:00,08:20,39,295.7
G01,2026-04-21,08:00,08:20,40,307.0
G01,2026-04-21,08:00,08:20,41,302.0
G01,2026-04-21,08:00,08:20,42,299.8
G01,2026-04-21,08:00,08:20,43,303.3
G01,2026-04-21,08:00,08:20,44,302.8
G01,2026-04-21,08:00,08:20,45,297.3
G01,2026-04-21,08:00,08:20,46,304.9
G01,2026-04-21,08:00,08:20,47,302.0
G01,2026-04-21,08:00,08:20,48,294.5
G01,2026-04-21,08:00,08:20,49,302.6
G01,2026-04-21,08:00,08:20,50,298.9
G01,2026-04-21,08:00,08:20,51,297.9
G01,2026-04-21,08:00,08:20,52,303.9
G01,2026-04-21,08:00,08:20,53,300.3
G01,2026-04-21,08:00,08:20,54,302.7
G01,2026-04-21,08:00,08:20,55,299.1
G01,2026-04-21,08:00,08:20,56,303.1
G01,2026-04-21,08:00,08:20,57,300.8
G01,2026-04-21,08:00,08:20,58,299.1
G01,2026-04-21,08:00,08:20,59,303.8
G01,2026-04-21,08:00,08:20,60,294.9
G01,2026-04-21,08:00,08:20,61,298.6
G01,2026-04-21,08:00,08:20,62,297.1
G01,2026-04-21,08:00,08:20,63,302.7
G01,2026-04-21,08:00,08:20,64,297.7
G01,2026-04-21,08:00,08:20,65,301.5
G01,2026-04-21,08:00,08:20,66,301.0
G01,2026-04-21,08:00,08:20,67,299.5
G01,2026-04-21,08:00,08:20,68,299.6
G01,2026-04-21,08:00,08:20,69,298.5
G01,2026-04-21,08:00,08:20,70,296.2
G01,2026-04-21,08:00,08:20,71,295.2
G01,2026-04-21,08:00,08:20,72,299.3
G01,2026-04-21,08:00,08:20,73,300.6
G01,2026-04-21,08:00,08:20,74,295.9
G01,2026-04-21,08:00,08:20,75,298.2
G01,2026-04-21,08:00,08:20,76,300.9
G01,2026-04-21,08:00,08:20,77,303.1
G01,2026-04-21,08:00,08:20,78,300.2
G01,2026-04-21,08:00,08:20,79,302.4
G01,2026-04-21,08:00,08:20,80,299.7
G01,2026-04-21,08:00,08:20,81,301.3
G01,2026-04-21,08:00,08:20,82,304.0
G01,2026-04-21,08:00,08:20,83,302.2
G01,2026-04-21,08:00,08:20,84,301.5
G01,2026-04-21,08:00,08:20,85,296.2
G01,2026-04-21,08:00,08:20,86,297.8
G01,2026-04-21,08:00,08:20,87,301.8
G01,2026-04-21,08:00,08:20,88,298.0
G01,2026-04-21,08:00,08:20,89,299.3
G01,2026-04-21,08:00,08:20,90,296.6
G01,2026-04-21,08:00,08:20,91,299.9
G01,2026-04-21,08:00,08:20,92,299.9
G01,2026-04-21,08:00,08:20,93,299.2
G01,2026-04-21,08:00,08:20,94,298.4
G01,2026-04-21,08:00,08:20,95,304.2
G01,2026-04-21,08:00,08:20,96,302.0
G01,2026-04-21,08:00,08:20,97,296.1
G01,2026-04-21,08:00,08:20,98,294.7
G01,2026-04-21,08:00,08:20,99,299.4
G01,2026-04-21,08:00,08:20,100,300.7
G01,2026-04-21,08:00,08:20,101,300.3
G01,2026-04-21,08:00,08:20,102,300.3
G01,2026-04-21,08:00,08:20,103,296.5
G01,2026-04-21,08:00,08:20,104,298.2
G01,2026-04-21,08:00,08:20,105,299.8
G01,2026-04-21,08:00,08:20,106,301.4
G01,2026-04-21,08:00,08:20,107,299.5
G01,2026-04-21,08:00,08:20,108,297.4
G01,2026-04-21,08:00,08:20,109,299.7
G01,2026-04-21,08:00,08:20,110,301.8
G01,2026-04-21,08:00,08:20,111,299.4
G01,2026-04-21,08:00,08:20,112,300.5
G01,2026-04-21,08:00,08:20,113,300.1
G01,2026-04-21,08:00,08:20,114,299.7
G01,2026-04-21,08:00,08:20,115,300.1
G01,2026-04-21,08:00,08:20,116,298.9
G01,2026-04-21,08:00,08:20,117,300.6
G01,2026-04-21,08:00,08:20,118,303.0
G01,2026-04-21,08:00,08:20,119,303.0
G01,2026-04-21,08:00,08:20,120,299.6
G01,2026-04-21,08:00,08:20,121,298.8
G01,2026-04-21,08:00,08:20,122,298.6
G01,2026-04-21,08:00,08:20,123,297.7
G01,2026-04-21,08:00,08:20,124,300.6
G01,2026-04-21,08:00,08:20,125,301.9
G01,2026-04-21,08:00,08:20,126,298.3
G01,2026-04-21,08:00,08:20,127,303.6
G01,2026-04-21,08:00,08:20,128,303.2
G01,2026-04-21,08:00,08:20,129,296.1
G01,2026-04-21,08:00,08:20,130,299.6
G01,2026-04-21,08:00,08:20,131,299.4
G01,2026-04-21,08:00,08:20,132,302.1
G01,2026-04-21,08:00,08:20,133,303.3
G01,2026-04-21,08:00,08:20,134,296.8
G01,2026-04-21,08:00,08:20,135,297.3
G01,2026-04-21,08:00,08:20,136,300.3
G01,2026-04-21,08:00,08:20,137,305.0
G01,2026-04-21,08:00,08:20,138,297.1
G01,2026-04-21,08:00,08:20,139,302.6
G01,2026-04-21,08:00,08:20,140,298.1
G01,2026-04-21,08:00,08:20,141,302.2
G01,2026-04-21,08:00,08:20,142,300.6
G01,2026-04-21,08:00,08:20,143,296.7
G01,2026-04-21,08:00,08:20,144,301.5
G01,2026-04-21,08:00,08:20,145,298.7
G01,2026-04-21,08:00,08:20,146,304.8
G01,2026-04-21,08:00,08:20,147,299.2
G01,2026-04-21,08:00,08:20,148,299.0
G01,2026-04-21,08:00,08:20,149,303.0
G01,2026-04-21,08:00,08:20,150,299.5
