"","default","student","balance","income","resid_resp","resid_pear","resid_dev","def_num","diff_logLik"
"1","No","No",729.526495207286,44361.6250742669,-0.00140909596322209,-0.0375644022504837,-0.00140909596322209,0,0.00141013274730994
"2","No","Yes",817.180406555498,12106.1347003149,-0.00114031793509672,-0.0337878638650997,-0.00114031793509672,0,0.00114100543771656
"3","No","No",1073.54916401173,31767.1389473999,-0.01005719430468,-0.100793695503546,-0.01005719430468,0,0.0101090926467577
"4","No","No",529.250604745278,35704.4939350781,-0.00044695714907274,-0.0211460873235384,-0.00044695714907274,0,0.000447063372917
"5","No","No",785.655882930501,38463.4958787229,-0.00194349774832655,-0.0441280215630253,-0.00194349774832655,0,0.00194546171758248
"6","No","Yes",919.5885304745,7491.55857182746,-0.00205037782912376,-0.045327591111437,-0.00205037782912376,0,0.00205258218420568
"7","No","No",825.513330517201,24905.2265775235,-0.00244170410187815,-0.0494740397953577,-0.00244170410187815,0,0.00244479553623478
"8","No","Yes",808.667504297266,17600.4513435869,-0.00108601339863674,-0.0329726266166767,-0.00108601339863674,0,0.00108663744663318
"9","No","No",1161.05785403132,37468.5292875375,-0.0165086401980945,-0.129559832151278,-0.0165086401980945,0,0.0166485213687793
"10","No","No",0,29275.2682931678,-2.14557617835082e-05,-0.00463208615454195,-2.14557617835082e-05,0,2.14560229778726e-05
"11","No","Yes",0,21871.0730892776,-1.04973890350364e-05,-0.00323998444924813,-1.04973890350364e-05,0,1.04974534451685e-05
"12","No","Yes",1220.58375300377,13268.5622209261,-0.011424139447971,-0.107499574954867,-0.011424139447971,0,0.0114916135295289
"13","No","No",237.045113977472,28251.6953449631,-8.36064464479481e-05,-0.00914403833490963,-8.36064464479481e-05,0,8.3610289493663e-05
"14","No","No",606.742343302464,44994.5558492173,-0.000697057672604647,-0.0264110564145543,-0.000697057672604647,0,0.000697314093258683
"15","No","No",1112.96840063305,23810.174050036,-0.0125777639831256,-0.112862656712187,-0.0125777639831256,0,0.0126589183844317
"16","No","No",286.232560139224,45042.4130358855,-0.000110867528770191,-0.0105299488005412,-0.000110867528770191,0,0.000110874245365267
"17","No","No",0,50265.3123535985,-2.14557617835082e-05,-0.00463208615454195,-2.14557617835082e-05,0,2.14560229778726e-05
"18","No","Yes",527.540184074571,17636.5396172936,-0.000216588876849813,-0.0147185528417006,-0.000216588876849813,0,0.000216614427017703
"19","No","No",485.936864171729,61566.106117801,-0.000348633885708591,-0.0186749959487156,-0.000348633885708591,0,0.000348698804828018
"20","No","No",1095.0727352874,26464.631389229,-0.0113642393689721,-0.107214130697099,-0.0113642393689721,0,0.0114304915100547
"21","No","No",228.952549642572,50500.1821977441,-7.98131632731199e-05,-0.00893417785375987,-7.98131632731199e-05,0,7.98166690856306e-05
"22","No","No",954.261792773545,32457.5090750754,-0.00509776482313865,-0.071581318685754,-0.00509776482313865,0,0.00511114454923245
