"","Price","Food","Decor","Service","Location"
"Vago Ristorante",45,22,21,23,"West"
"Tello's Ristorante",32,20,19,19,"West"
"Giovanni",45,22,19,21,"West"
"Torre di Pisa",47,19,21,17,"West"
"Anche Vivolo",37,19,17,19,"East"
"Da Antonio Ristorante",49,22,19,20,"East"
"Pomodoro Rosso",31,20,17,19,"West"
"Rughetta",38,23,19,24,"East"
"Campagna",51,24,21,21,"East"
"Coco Pazzo Teatro",47,18,18,17,"West"
"Sette MoMA",42,18,21,17,"West"
"Giovanni Venticinque",48,21,18,19,"East"
"Le Zie",34,22,16,21,"West"
"Da Umberto",54,24,19,21,"West"
"Circo Osteria del",53,22,24,21,"West"
"Arno",41,19,17,19,"West"
"Enoteca i Trulli",43,23,20,21,"East"
"I Trulli",51,23,22,21,"East"
"Orso",46,22,18,20,"West"
"Trattoria Alba",37,21,19,21,"East"
"Veronica",22,21,6,14,"West"
"Bardolino",24,18,13,18,"East"
"Bottino",41,20,20,17,"West"
"Barbetta",52,20,23,20,"West"
"Bondí Ristorante´",37,20,17,19,"West"
"Trattoria Del Sogno",29,21,18,19,"West"
"Cinque Terre",44,21,17,19,"East"
"Mezzaluna",38,19,15,17,"East"
"Pasticcio",34,20,18,21,"East"
"Casa Mia",31,20,19,19,"East"
"Rao's",57,23,16,20,"East"
"Nicola Paone",52,21,19,20,"East"
"Sirabella's",36,23,16,22,"East"
"Puttanesca",32,19,15,17,"West"
"Mangia e Bevi",29,17,14,16,"West"
"Nino's",52,23,20,22,"East"
"La Gioconda",34,20,16,18,"East"
"Basta Pasta",32,18,15,17,"West"
"Gennaro",34,24,10,16,"West"
"Scalinatella",58,24,18,21,"East"
"Harry Cipriani",65,21,20,20,"East"
"Sistina",54,23,19,21,"East"
"Becco",38,20,17,19,"West"
"Primavera",60,24,22,23,"East"
"Grace's Trattoria",35,18,16,17,"East"
"San Giusto",51,22,20,22,"East"
"Bravo Gianni",56,22,17,21,"East"
"Paul & Jimmy's",40,19,16,19,"East"
"Quattro Gatti",41,19,17,19,"East"
"Firenze",41,21,19,21,"East"
"Fresco by Scotto",50,23,21,21,"East"
"Lumi",49,20,19,19,"East"
"Baci",31,17,15,16,"West"
"Osteria al Doge",40,20,17,18,"West"
"Il Riccio",43,21,16,20,"East"
"Rossini's",47,20,18,21,"East"
"Triangolo",33,20,16,19,"East"
"Lamarca",19,18,9,15,"East"
"Maruzzella",33,19,14,18,"East"
"Canaletto",44,22,17,21,"East"
"Nanni's",51,23,17,21,"East"
"Rainbow Grill",65,19,23,18,"West"
"East River Cafe",40,20,20,20,"East"
"Bella Luna",31,18,16,17,"West"
"Notaro",35,19,17,19,"East"
"Mediterraneo",34,18,15,16,"East"
"Ribollita",36,18,16,16,"East"
"Divino Ristorante",37,19,15,19,"East"
"Novitá",47,23,19,21,"East"
"Ernie's",31,16,15,16,"West"
"Da Tommaso",42,21,16,20,"West"
"Il Postino",57,24,21,22,"East"
"Teodora",41,21,17,18,"East"
"Grifone",54,23,20,23,"East"
"Elio's",50,23,18,20,"East"
"Il Valletto Due Mila",56,21,17,20,"East"
"Amarone",33,19,15,18,"West"
"Erminia",54,25,24,24,"East"
"Luna Piena",33,19,17,18,"East"
"Gino",41,20,14,19,"East"
"Carino Ristorante",30,19,13,20,"East"
"Via Oreto",40,22,17,20,"East"
"Follonico",48,23,20,21,"East"
"Vico",45,20,15,17,"East"
"Limoncello",46,19,18,20,"West"
"Ecco-la",25,18,15,15,"East"
"Cara Mia",29,19,15,17,"West"
"Artusi",44,20,19,20,"West"
"Castellano",49,21,18,20,"West"
"Il Tinello",57,23,19,23,"West"
"Biricchino",34,21,13,18,"West"
"Campagnola",53,24,20,21,"East"
"Bice",51,21,20,18,"East"
"Patsy's",42,20,16,19,"West"
"Il Vagabondo",36,17,14,17,"East"
"Supreme Macaroni Co.",28,17,14,17,"West"
"Il Nido",57,24,20,23,"East"
"La Grolla, Ristorante",42,21,15,19,"West"
"Scaletta",46,21,19,22,"West"
"Zucchero e Pomodori",29,17,14,15,"East"
"FELIDIA",62,25,22,23,"East"
"ViceVersa",46,22,22,20,"West"
"Giambelli",51,21,18,20,"East"
"Remi",52,23,23,21,"West"
"Vivolo",43,20,19,20,"East"
"San Domenico",65,23,22,22,"West"
"Il Monello",55,23,20,22,"East"
"Caffe Grazie",38,18,16,19,"East"
"Coco Pazzo Café",49,20,19,19,"East"
"Fred's at Barneys NY",39,19,18,17,"East"
"Cellini",45,22,20,22,"East"
"Belluno",39,22,19,22,"East"
"Casa Di Meglio",33,19,17,18,"West"
"Puccini",26,20,16,17,"West"
"Primola",51,23,17,20,"East"
"Bellini",49,22,21,21,"East"
"La Rivista",45,19,16,18,"West"
"Tuscan Square",40,19,20,17,"West"
"Due",37,22,18,20,"East"
"Trattoria Dopo Teatro",38,17,16,17,"West"
"Tino's",43,20,18,18,"West"
"Da Filippo",46,20,18,20,"East"
"Métisse",38,22,17,21,"West"
"Le Madri",52,22,22,21,"West"
"Il Gatto & La Volpe",37,20,15,20,"East"
"Parma",47,22,16,21,"East"
"Palio",63,22,25,22,"West"
"Bello",38,21,17,20,"West"
"Luca",37,21,15,18,"East"
"Osteria Laguna",38,20,18,18,"East"
"Marchi's",47,21,19,21,"East"
"Barbaresco",44,16,16,16,"East"
"Pappardella",34,18,16,17,"West"
"Paola's",46,23,19,21,"East"
"Fino",45,19,17,20,"East"
"Sambuca, Trattoria",31,19,16,18,"West"
"Sal Anthony's",37,18,16,18,"East"
"Baraonda",37,17,18,15,"East"
"Il Menestrello",52,22,19,22,"East"
"Bruno Ristorante",50,22,19,22,"East"
"DeGrezia",51,23,22,23,"East"
"Il Valentino",49,21,20,21,"East"
"Andiamo",33,18,17,18,"East"
"Pietrasanta",32,20,15,19,"West"
"Luna Blu",38,19,17,18,"East"
"Lusardi's",49,24,20,22,"East"
"Sette Mezzo",48,21,16,18,"East"
"Coco Pazzo",55,22,21,20,"East"
"Tony's Di Napoli",30,19,14,17,"East"
"Trattoria Rustica",35,20,16,18,"East"
