"Area","Rooms","Distance_to_Center","Rent_Price","Has_Terrace","Noise_Level"
63,3,1.41,2452,0,49
57,3,0.88,2350,0,49.4
76,2,0.5,2917,1,53.1
106,4,6.34,2792,0,65.1
86,4,0.5,3691,0,41.2
118,3,4.78,3473,0,24.1
69,4,0.5,2827,1,69.5
61,2,1.18,2306,0,43.1
57,2,4.54,1665,1,38.7
58,2,0.5,2245,1,60.5
56,3,1.43,2251,1,64.4
65,3,9.27,1284,0,68.8
72,4,1.25,2870,1,43.1
58,4,1.26,2495,0,53.9
54,3,1.91,2082,0,53.7
87,3,5.85,2344,0,61.9
57,2,2.49,1989,1,31.5
33,1,0.73,1621,0,49.7
72,2,5.72,1837,0,43.7
68,3,1.1,2603,1,65
103,3,4.64,2929,0,61.1
67,3,7.22,1573,0,53
67,3,2.63,2274,1,45
41,1,1.04,1682,1,58.1
71,3,5.62,1958,1,38.4
88,4,0.5,3838,1,44.3
79,3,3.89,2413,0,58.3
101,4,0.5,4086,0,42.5
95,5,0.96,4087,0,37.1
67,3,0.89,2655,1,55.6
77,3,0.5,3016,1,55.9
57,2,0.5,2355,1,59.8
60,4,4.05,1960,1,48.8
63,2,1.5,2240,0,51.5
56,3,0.6,2327,1,60
102,4,3.97,3302,0,64.8
58,4,10.84,1112,0,63.8
63,2,1.52,2286,0,42.2
29,2,1.11,1600,1,46.5
83,3,0.5,3140,1,68.9
29,1,4.92,1113,0,47.5
72,3,1.73,2824,0,45
74,4,2.25,2701,0,60
96,5,5.97,2946,0,40.8
74,2,2.12,2489,0,47.9
60,2,1.95,2007,0,36.8
83,4,1.6,3184,0,47.7
75,3,1.63,2793,0,64.9
43,2,1.39,1759,0,63
65,2,1.1,2417,0,56.6
89,4,0.76,3584,0,38.9
44,4,8.03,1246,0,45.2
91,3,2.45,3199,0,52.5
78,3,1.13,3002,0,54.4
51,2,0.71,2113,0,47.3
62,3,3.77,1981,0,68.4
49,3,7.15,1292,0,36.7
54,3,6.2,1509,1,67.5
124,5,2.97,4764,0,36.7
61,4,0.5,2589,0,56
61,3,0.5,2682,0,44
86,3,1.97,3173,0,45.1
72,3,3.83,2200,0,56
80,4,2.25,2825,1,53.8
102,5,4.02,3556,0,34.3
70,2,0.7,2825,0,56.5
69,3,7.31,1658,0,32.1
60,3,0.64,2272,0,48.6
71,3,0.5,2799,0,56.8
67,2,0.5,2667,1,45.9
79,3,3.36,2437,0,39.5
98,4,2.72,3389,0,53.2
96,4,4.26,3227,0,47
85,3,2.38,2899,0,31
81,4,4,2681,1,56.2
80,3,10.11,1460,0,43.9
63,2,6.54,1516,1,44.4
103,4,1.69,3950,1,50.3
60,3,8.67,1333,1,70.1
65,3,0.5,2657,0,67.6
51,1,1.11,1932,0,54.4
40,2,3.1,1585,0,57.8
84,3,3.45,2570,0,46.8
82,3,1.89,2917,0,55.1
73,2,5.52,1820,1,63.8
71,3,0.5,2828,0,46.4
111,4,9.58,2451,1,37.8
75,2,4.79,1992,1,36
64,5,9.27,1439,1,34.9
76,2,4.3,2244,0,39.1
68,4,2.59,2465,1,48.6
56,2,8.91,1218,0,48.4
54,2,2.34,1847,0,57
64,4,2.33,2521,0,56.7
90,3,5.2,2482,0,43.8
56,2,2.55,1878,0,60.4
67,1,2.25,2252,0,51.2
108,4,2.64,3919,1,55.8
75,2,0.89,2887,1,62.4
59,2,0.86,2308,0,50.1
