"offer","spendlift"
"no",-575.38
"no",999.37
"no",-256.41
"no",421.29
"no",-130.29
"no",-135.1
"no",-216.78
"no",-134.56
"no",9.48
"no",82.32
"no",-283.82
"no",-725.73
"no",-362.39
"no",-466.75
"no",646.58
"no",284.23
"no",152.94
"no",778.13
"no",1484.68
"no",769.87
"no",-682.67
"no",263.3
"no",788.48
"no",77.94
"no",1412.1
"no",-15.19
"no",634.44
"no",-592.03
"no",-106.93
"no",185.49
"no",259
"no",408.71
"no",-478.35
"no",-355.44
"no",368.75
"no",205.71
"no",-143.91
"no",-905.07
"no",636.98
"no",-22.9
"no",-238.08
"no",668.02
"no",565.08
"no",-327.98
"no",-252.19
"no",1081.69
"no",1010.98
"no",-199.83
"no",-729.26
"no",-382.99
"no",994.57
"no",-40.71
"no",-67.33
"no",147.72
"no",-176.22
"no",-287.82
"no",-20.49
"no",-572.66
"no",782.71
"no",63.66
"no",-16.02
"no",144.41
"no",-102.1
"no",-48.46
"no",1384.7
"no",-966.65
"no",-140.08
"no",627.23
"no",387.15
"no",85.29
"no",551.08
"no",1097.18
"no",-88.74
"no",-308.29
"no",-155.87
"no",425.59
"no",94.12
"no",-635.53
"no",-1036.59
"no",213.94
"no",-849.91
"no",-228.43
"no",-464.39
"no",4.57
"no",-121.69
"no",-245.6
"no",796.74
"no",123.91
"no",-186.67
"no",495.31
"no",343.07
"no",1155.54
"no",88.64
"no",274.87
"no",-1015.84
"no",-59.69
"no",-625.41
"no",-44.72
"no",1010.53
"no",-462.68
"no",777.13
"no",367.55
"no",-595.97
"no",-1653.41
"no",996.9
"no",276.63
"no",-202.5
"no",1351.74
"no",-1063.84
"no",349.78
"no",-169.56
"no",498.78
"no",-1090.48
"no",-90.02
"no",-355.53
"no",-330.7
"no",85.05
"no",-1139.6
"no",-600.96
"no",324.74
"no",-399.85
"no",-190.71
"no",-292.78
"no",660.38
"no",477.99
"no",-1572.69
"no",1081.29
"no",52.96
"no",407.38
"no",208.21
"no",90.4
"no",588.73
"no",158.87
"no",177.29
"no",-379.64
"no",478.99
"no",-347.47
"no",743.87
"no",82.3
"no",157.05
"no",-682.02
"no",-383.93
"no",326.54
"no",-477.01
"no",-502.23
"no",-923.17
"no",-467.22
"no",395.5
"no",171.97
"no",9.97
"no",40.18
"no",-229.75
"no",557.03
"no",-2092.65
"no",-550.66
"no",1008.33
"no",-903.23
"no",-607.34
"no",-136.08
"no",-325.46
"no",449.39
"no",-327.94
"no",161.13
"no",806.64
"no",958.92
"no",607.16
"no",-413.64
"no",551.43
"no",99.47
"no",448.86
"no",-764.56
"no",1581.24
"no",-489.06
"no",-225.11
"no",-4.42
"no",-374.8
"no",-291.05
"no",-693.95
"no",-459.34
"no",987.72
"no",348.15
"no",-481.57
"no",34.53
"no",-1062.88
"no",989.92
"no",534.72
"no",-616.85
"no",211.15
"no",-427.88
"no",-1068.41
"no",401.73
"no",-108.44
"no",142.23
"no",-623.92
"no",-406.88
"no",499.76
"no",794.59
"no",-834.09
"no",-68.85
"no",-761.05
"no",641.45
"no",676.84
"no",-797.25
"no",598.32
"no",107.9
"no",-41.6
"no",312.13
"no",-685.71
"no",-220.46
"no",-336.67
"no",445.18
"no",-295.74
"no",873.86
"no",-13.73
"no",352.72
"no",-579.22
"no",453.82
"no",87.26
"no",-25.66
"no",1082.56
"no",-24.19
"no",1169.57
"no",-735.98
"no",312.12
"no",968.48
"no",-394.36
"no",-475.14
"no",103.36
"no",391.5
"no",-521.95
"no",519.55
"no",96.18
"no",244.11
"no",-56.05
"no",-847.12
"no",146.25
"no",-565.48
"no",56.44
"no",-1193.77
"no",-680.17
"no",364.87
"no",-2.26
"no",41.14
"no",5.76
"no",-135.19
"no",-23.48
"no",1001.05
"no",221.22
"no",-144.4
"no",-412.93
"no",-767.86
"no",-151.07
"no",283.88
"no",145.23
"no",28.37
"no",1200.35
"no",-505.66
"no",90.93
"no",402.24
"no",128.55
"no",306.06
"no",1372.3
"no",-246.52
"no",441.96
"no",112.5
"no",1343.93
"no",193.04
"no",-435.29
"no",-757.94
"no",900.23
"no",-340.37
"no",-715.19
"no",-67.53
"no",-1025.73
"no",-546.41
"no",909.12
"no",-786.16
"no",-184.33
"no",-233.78
"no",389.52
"no",541.71
"no",-549.02
"no",-149.97
"no",260.76
"no",-542.94
"no",826.06
"no",542.41
"no",288.83
"no",368.44
"no",-1129.44
"no",-748.36
"no",3.98
"no",248.03
"no",-13.39
"no",-814.76
"no",-181.7
"no",375.4
"no",452.94
"no",-720.45
"no",621.45
"no",462.94
"no",-617.69
"no",353.17
"no",-540.8
"no",-718.77
"no",-163.24
"no",1643.29
"no",546.17
"no",238.51
"no",134.19
"no",-558.29
"no",888.7
"no",-54.75
"no",802.37
"no",308.45
"no",570.77
"no",318.49
"no",-52.13
"no",-195.75
"no",-131.19
"no",-231.54
"no",1237.06
"no",-925.25
"no",-429.24
"no",-495.26
"no",-843.5
"no",338.8
"no",-1174.23
"no",858.68
"no",414.02
"no",349.43
"no",132.76
"no",-1074.03
"no",-116.69
"no",663.08
"no",-227.15
"no",527.73
"no",412.57
"no",1459.4
"no",332.84
"no",-533.52
"no",356.63
"no",-763.2
"no",-442.04
"no",-576.03
"no",-667.24
"no",70.58
"no",-771.02
"no",1009.32
"no",-700.5
"no",302.14
"no",137.84
"no",-377.28
"no",-861.08
"no",-355
"no",1178.85
"no",-612.35
"no",-446.49
"no",665.78
"no",-80.24
"no",-398.24
"no",714.48
"no",497.84
"no",653.95
"no",171
"no",-41.08
"no",559.32
"no",-577.01
"no",-320.47
"no",-23.77
"no",491.88
"no",-379.86
"no",533.23
"no",-235.32
"no",65.79
"no",29.29
"no",-412.85
"no",603.29
"no",-491.21
"no",-799.3
"no",-78.44
"no",484.63
"no",787.73
"no",869.57
"no",159.83
"no",-576.64
"no",-147.18
"no",110.81
"no",59.66
"no",-139.33
"no",-609.25
"no",-79.31
"no",1266.9
"no",-511.69
"no",341.9
"no",-1385.01
"no",-1363.84
"no",-124.11
"no",-263.21
"no",660.49
"no",-555.24
"no",331.87
"no",-83.34
"no",1039.17
"no",53.3
"no",-288.38
"no",1024.68
"no",96.14
"no",70
"no",-481.59
"no",227.98
"no",-2.38
"no",-51.09
"no",127.77
"no",855.53
"no",757.83
"no",310.62
"no",956.52
"no",446.72
"no",722.57
"no",431.34
"no",-773.93
"no",654.29
"no",-64.49
"no",1068.24
"no",-29.36
"no",155.85
"no",-197.98
"no",1249.65
"no",-30.91
"no",-568.94
"no",809.1
"no",-533.55
"no",610.64
"no",216.08
"no",42.74
"no",519.59
"no",-1131.85
"no",59.42
"no",367.18
"no",-422.68
"no",600.8
"no",-501.73
"no",133.26
"no",157.9
"no",-1011.39
"no",-185.83
"no",-361.91
"no",-568.63
"no",-675.22
"no",534.33
"no",497.71
"no",842.11
"no",1293.25
"no",397.37
"no",-1910.16
"no",-9.72
"no",1028.66
"no",597.9
"no",574.22
"no",1272.61
"no",291.25
"no",810.97
"no",-811.67
"no",42.54
"no",-1170.1
"no",-131.97
"no",-92.56
"no",-992.74
"no",-312.57
"no",-520.78
"no",978.61
"no",66.17
"no",461.01
"no",-940.01
"no",-405.19
"no",1022.17
"no",337.76
"no",108.09
"no",109.03
"no",450.22
"no",257.76
"no",91.71
"no",436
"no",-240.88
"no",-877.4
"no",-105.02
"no",-249.21
"no",649.25
"no",1206.46
"no",737.78
"no",408.88
"no",649.53
"no",-705.33
"no",123.47
"no",-129.85
"no",-42.29
"no",338.94
"no",937.58
"no",214.24
"yes",66.4
"yes",-477.61
"yes",427.41
"yes",444.22
"yes",0.8
"yes",-911.28
"yes",1024.49
"yes",960.78
"yes",-1117.27
"yes",298.09
"yes",-315.92
"yes",389.71
"yes",153.41
"yes",144.86
"yes",-103.18
"yes",-151.64
"yes",938.46
"yes",35.28
"yes",1107.57
"yes",-1194.74
"yes",-234.09
"yes",260.91
"yes",60.23
"yes",476.93
"yes",-17.37
"yes",151.17
"yes",-619.62
"yes",-632.98
"yes",569.56
"yes",577.87
"yes",-219.69
"yes",-56.56
"yes",21.66
"yes",521.09
"yes",-307.03
"yes",826.62
"yes",1053.22
"yes",331.65
"yes",535.68
"yes",177.91
"yes",241.72
"yes",-533.02
"yes",64.83
"yes",170.62
"yes",113.02
"yes",283.88
"yes",-343.56
"yes",463.35
"yes",-434.36
"yes",556.63
"yes",-74.41
"yes",-670.58
"yes",-794.56
"yes",208.01
"yes",-749.6
"yes",-528.78
"yes",47.12
"yes",-148.47
"yes",802.77
"yes",89.88
"yes",-624.1
"yes",94.09
"yes",848.46
"yes",1836.91
"yes",6.07
"yes",-114.31
"yes",324.09
"yes",790.49
"yes",-273.32
"yes",1275.61
"yes",-201.41
"yes",428.9
"yes",465.59
"yes",-73.44
"yes",-55.61
"yes",233.12
"yes",-64.29
"yes",320.82
"yes",472.08
"yes",261.85
"yes",-748.98
"yes",-366.91
"yes",31
"yes",209.59
"yes",-202.56
"yes",-4.8
"yes",139.59
"yes",232.29
"yes",-105.19
"yes",493.91
"yes",88.54
"yes",-670.32
"yes",-511.58
"yes",-415.2
"yes",-983.88
"yes",310.68
"yes",519.88
"yes",788.43
"yes",1006.13
"yes",-174.62
"yes",704
"yes",530.62
"yes",-607.28
"yes",-679.9
"yes",-813.31
"yes",-465.1
"yes",-598.72
"yes",-182.6
"yes",398.6
"yes",738.81
"yes",1202.59
"yes",240.44
"yes",543.42
"yes",-651.44
"yes",-420.5
"yes",511.28
"yes",109.63
"yes",427.01
"yes",-753.6
"yes",698.45
"yes",282.07
"yes",-683.77
"yes",487.48
"yes",768.68
"yes",-446.27
"yes",-390.46
"yes",-659.47
"yes",689.74
"yes",-703.58
"yes",764.64
"yes",-656.69
"yes",426.48
"yes",293.37
"yes",423.02
"yes",-501.6
"yes",671.48
"yes",954.17
"yes",730.48
"yes",472.21
"yes",-448.69
"yes",90.81
"yes",508.73
"yes",-240.8
"yes",-1013.45
"yes",-395.86
"yes",1404.72
"yes",237.21
"yes",918.36
"yes",-140.19
"yes",381.36
"yes",663.22
"yes",-458.5
"yes",-76.18
"yes",-424.04
"yes",-845.95
"yes",-448.34
"yes",-338.83
"yes",72.42
"yes",-300.7
"yes",783.74
"yes",184.35
"yes",377.62
"yes",-276.04
"yes",103.4
"yes",-1006.73
"yes",-536.1
"yes",984.35
"yes",392.28
"yes",45.22
"yes",-678.96
"yes",-1025.64
"yes",-507.29
"yes",391.62
"yes",581.82
"yes",63.93
"yes",915.62
"yes",-371.36
"yes",-250.14
"yes",-765.13
"yes",215.71
"yes",187.93
"yes",299.98
"yes",1254.94
"yes",-14.07
"yes",1138.91
"yes",224.86
"yes",-712.59
"yes",-521.3
"yes",125.85
"yes",291.72
"yes",-340.18
"yes",8.27
"yes",673.53
"yes",415.01
"yes",451.61
"yes",936.21
"yes",-217.04
"yes",248.15
"yes",-63.39
"yes",-222.87
"yes",-852.72
"yes",-262.31
"yes",1005.21
"yes",-114.65
"yes",530.84
"yes",-1422.86
"yes",-739.12
"yes",-67.29
"yes",312.07
