score,rank,ethnicity,gender,language,age,bty_avg
4.7,tenure track,minority,female,english,36,5
4.1,tenure track,minority,female,english,36,5
3.9,tenure track,minority,female,english,36,5
4.8,tenure track,minority,female,english,36,5
4.6,tenured,not minority,male,english,59,3
4.3,tenured,not minority,male,english,59,3
2.8,tenured,not minority,male,english,59,3
4.1,tenured,not minority,male,english,51,3.333
3.4,tenured,not minority,male,english,51,3.333
4.5,tenured,not minority,female,english,40,3.167
3.8,tenured,not minority,female,english,40,3.167
4.5,tenured,not minority,female,english,40,3.167
4.6,tenured,not minority,female,english,40,3.167
3.9,tenured,not minority,female,english,40,3.167
3.9,tenured,not minority,female,english,40,3.167
4.3,tenured,not minority,female,english,40,3.167
4.5,tenured,not minority,female,english,40,3.167
4.8,tenure track,not minority,female,english,31,7.333
4.6,tenure track,not minority,female,english,31,7.333
4.6,tenure track,not minority,female,english,31,7.333
4.9,tenure track,not minority,female,english,31,7.333
4.6,tenure track,not minority,female,english,31,7.333
4.5,tenure track,not minority,female,english,31,7.333
4.4,tenured,not minority,male,english,62,5.5
4.6,tenured,not minority,male,english,62,5.5
4.7,tenured,not minority,male,english,62,5.5
4.5,tenured,not minority,male,english,62,5.5
4.8,tenured,not minority,male,english,62,5.5
4.9,tenured,not minority,male,english,62,5.5
4.5,tenured,not minority,male,english,62,5.5
4.4,tenure track,not minority,female,english,33,4.167
4.3,tenure track,not minority,female,english,33,4.167
4.1,tenure track,not minority,female,english,33,4.167
4.2,tenure track,not minority,female,english,33,4.167
3.5,tenure track,not minority,female,english,33,4.167
3.4,tenured,not minority,female,english,51,4
4.5,tenured,not minority,female,english,51,4
4.4,tenured,not minority,female,english,51,4
4.4,tenured,not minority,female,english,51,4
2.5,tenured,not minority,female,english,51,4
4.3,tenured,not minority,female,english,51,4
4.5,tenured,not minority,female,english,51,4
4.8,tenure track,not minority,female,english,33,4.667
4.8,tenure track,not minority,female,english,33,4.667
4.4,tenure track,not minority,female,english,33,4.667
4.7,tenure track,not minority,female,english,33,4.667
4.4,tenure track,not minority,female,english,33,4.667
4.7,tenure track,not minority,female,english,33,4.667
4.5,tenure track,not minority,female,english,33,4.667
4,teaching,not minority,male,english,47,5.5
4.3,teaching,not minority,male,english,47,5.5
4.4,teaching,not minority,male,english,47,5.5
4.5,teaching,not minority,male,english,47,5.5
5,teaching,not minority,male,english,47,5.5
4.9,teaching,not minority,male,english,47,5.5
4.6,teaching,not minority,male,english,47,5.5
5,teaching,not minority,male,english,47,5.5
4.7,teaching,not minority,male,english,47,5.5
5,teaching,not minority,male,english,47,5.5
3.6,tenure track,minority,male,non-english,35,4.833
3.7,tenure track,minority,male,non-english,35,4.833
4.3,tenure track,minority,male,non-english,35,4.833
4.1,teaching,not minority,male,english,37,4.333
4.2,teaching,not minority,male,english,37,4.333
4.7,teaching,not minority,male,english,37,4.333
4.7,teaching,not minority,male,english,37,4.333
3.5,teaching,not minority,male,english,37,4.333
4.1,tenured,not minority,male,english,42,4.833
4.2,tenured,not minority,male,english,42,4.833
4,tenured,not minority,male,english,42,4.833
4,tenured,not minority,male,english,42,4.833
3.9,tenured,not minority,male,english,42,4.833
4.4,tenured,not minority,male,english,42,4.833
3.8,tenured,not minority,male,english,42,4.833
3.5,tenured,not minority,male,non-english,49,4
4.2,tenured,not minority,male,non-english,49,4
3.5,tenured,not minority,male,non-english,49,4
3.6,tenured,not minority,male,non-english,49,4
2.9,tenure track,not minority,female,english,37,5.5
3.3,tenure track,not minority,female,english,37,5.5
3.3,tenure track,not minority,female,english,37,5.5
3.2,tenure track,not minority,female,english,37,5.5
4.6,tenured,not minority,male,english,45,4.167
4.2,tenured,not minority,male,english,45,4.167
4.3,tenured,not minority,male,english,45,4.167
4.4,tenured,not minority,male,english,45,4.167
4.1,tenured,not minority,male,english,45,4.167
4.6,tenured,not minority,male,english,45,4.167
4.4,teaching,not minority,female,english,56,2.5
4.8,teaching,not minority,female,english,56,2.5
4.3,teaching,not minority,female,english,56,2.5
3.6,teaching,not minority,female,english,56,2.5
4.3,teaching,not minority,female,english,56,2.5
4,teaching,not minority,male,english,48,4.333
4.2,teaching,not minority,male,english,48,4.333
4.1,teaching,not minority,male,english,48,4.333
4.1,teaching,not minority,male,english,48,4.333
4.4,teaching,not minority,male,english,48,4.333
4.3,teaching,not minority,male,english,48,4.333
4.4,teaching,not minority,male,english,48,4.333
4.4,teaching,not minority,male,english,48,4.333
4.9,tenured,not minority,female,english,46,4.333
5,tenured,not minority,female,english,46,4.333
4.4,tenured,not minority,female,english,46,4.333
4.8,tenured,not minority,female,english,46,4.333
4.9,tenured,not minority,female,english,46,4.333
4.3,tenured,not minority,female,english,46,4.333
5,tenured,not minority,female,english,46,4.333
4.7,tenured,not minority,female,english,46,4.333
4.5,tenured,not minority,female,english,46,4.333
3.5,teaching,not minority,female,english,57,4.333
3.9,teaching,not minority,female,english,57,4.333
4,teaching,not minority,female,english,57,4.333
4,teaching,not minority,female,english,57,4.333
3.7,teaching,not minority,female,english,57,4.333
3.4,teaching,not minority,female,english,57,4.333
3.3,teaching,not minority,female,english,57,4.333
3.8,teaching,not minority,female,english,57,4.333
3.9,teaching,not minority,female,english,57,4.333
3.4,teaching,not minority,female,english,57,4.333
3.7,teaching,not minority,female,english,52,4.833
4.1,teaching,not minority,female,english,52,4.833
