before,after
92,87
74,83
86,86
71,73
83,91
74,86
70,84
77,93
79,79
82,79
94,82
81,96
98,88
78,86
81,95
96,91
90,87
87,84
90,81
71,72
91,94
69,74
95,76
86,95
81,80
85,95
71,90
67,77
61,68
82,91
77,93
72,79
67,81
90,78
72,82
87,101
77,81
96,77
79,87
79,111
103,77
96,88
78,70
91,86
76,78
92,73
71,96
83,90
89,77
72,93
86,74
84,75
98,89
87,80
73,85
81,94
79,89
79,76
78,81
91,97
83,97
99,71
74,85
72,97
76,85
87,85
64,94
70,89
76,79
90,74
79,88
85,89
64,63
77,88
80,78
81,93
85,82
103,89
104,100
81,84
77,75
82,86
82,89
86,85
82,83
68,89
74,83
81,73
65,92
86,69
92,58
87,80
67,70
68,70
95,75
82,77
78,63
71,80
82,61
75,76
65,65
75,88
88,98
85,95
63,82
74,91
69,89
84,77
80,99
82,75
101,92
86,87
86,63
76,94
78,81
79,81
82,90
77,86
75,91
84,81
75,88
74,94
59,79
77,105
100,70
69,87
88,91
82,88
81,102
68,95
