score,section
73,A
64,A
71,A
68,A
51,A
60,A
58,A
65,A
63,A
75,A
79,A
77,A
71,A
65,A
63,A
62,A
90,A
62,A
64,A
75,A
62,B
65,B
59,B
71,B
73,B
55,B
65,B
79,B
81,B
72,B
58,B
74,B
83,B
78,B
70,B
68,B
65,B
73,B
78,B
65,B
84,C
65,C
64,C
84,C
71,C
69,C
75,C
67,C
77,C
69,C
74,C
71,C
72,C
87,C
67,C
71,C
61,C
65,C
70,C
77,C
71,D
75,D
67,D
83,D
63,D
77,D
72,D
65,D
65,D
58,D
73,D
72,D
51,D
60,D
81,D
58,D
67,D
65,D
86,D
67,D
71,E
82,E
69,E
60,E
62,E
70,E
59,E
74,E
87,E
66,E
79,E
75,E
69,E
62,E
67,E
61,E
69,E
80,E
77,E
80,E
