instructor,score
A,63
A,71
A,100
A,63
A,87
A,97
A,75
A,66
A,80
A,71
A,91
A,61
A,81
A,80
A,83
A,64
A,79
A,77
A,74
A,84
A,70
A,77
A,71
A,79
A,98
A,63
A,70
A,75
A,80
A,58
B,53
B,100
B,75
B,73
B,60
B,56
B,74
B,78
B,50
B,87
B,95
B,79
B,77
B,81
B,94
B,88
B,69
B,81
B,86
B,70
B,64
B,56
B,35
B,91
B,63
B,67
B,92
B,74
B,84
B,44
C,85
C,78
C,63
C,68
C,76
C,67
C,74
C,77
C,70
C,72
C,78
C,84
C,72
C,76
C,78
C,76
C,82
C,75
C,76
C,70
C,84
C,80
C,84
C,73
C,74
C,85
C,72
C,70
C,70
C,78
