aff,op
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,yes
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,no
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
rep,dk
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
dem,yes
