Start,End,Pollster,Sponsor,SampleSize,Pop,Text,Category,Include?,Yes,No,Unsure,Rep Sample,Rep Yes,Rep No,Dem Sample,Dem Yes,Dem No,Ind Sample,Ind Yes,Ind No
6/28/19,7/1/19,ABC News/Washington Post,,1008,a,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,37,59,4,232,7,87,292,61,36,373,37,59
4/22/19,4/25/19,ABC News/Washington Post,,1001,a,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,37,56,6,260,10,87,290,62,29,360,36,59
1/21/19,1/24/19,ABC News/Washington Post,,1001,a,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,40,55,6,240,7,90,320,64,30,370,42,53
8/26/18,8/29/18,ABC News/Washington Post,,1003,a,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,49,46,5,251,15,82,331,75,21,371,49,46
6/8/19,6/12/19,Civiqs,,1559,rv,Do you think the House of Representatives should open an impeachment inquiry to determine if President Donald Trump should be removed from office?,begin_inquiry,yes,43,51,5,483,5,93,577,77,15,499,41,53
5/28/19,5/31/19,CNN/SSRS,,1006,a,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,41,54,5,342,6,93,272,76,18,392,35,59
4/25/19,4/28/19,CNN/SSRS,,1007,a,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,37,59,4,262,7,93,332,69,25,413,30,66
3/14/19,3/17/19,CNN/SSRS,,1003,a,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,36,59,5,251,4,95,321,68,28,441,33,61
12/6/18,12/9/18,CNN/SSRS,,1015,a,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,43,50,8,264,7,91,325,80,12,426,36,55
11/8/18,11/12/18,CNN/SSRS,,677,a,Do you think there is or is not enough cause right now for Congress to begin hearings into whether or not President Trump should be impeached?,begin_inquiry,yes,37,58,4,169,,,264,62,33,244,33,64
11/8/18,11/12/18,CNN/SSRS,,677,a,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,42,55,3,169,,,264,71,25,244,34,62
9/6/18,9/9/18,CNN/SSRS,,1003,a,Do you think there is or is not enough cause right now for Congress to begin hearings into whether or not President Trump should be impeached?,begin_inquiry,yes,42,53,5,251,11,86,341,66,29,401,43,53
9/6/18,9/9/18,CNN/SSRS,,1003,a,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,47,48,5,251,8,91,341,78,16,401,48,47
6/14/18,6/17/18,CNN/SSRS,,1012,a,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,42,51,7,253,9,89,304,77,16,455,38,56
7/21/19,7/23/19,Fox News,,1004,rv,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,42,50,8,402,8,88,462,74,18,151,36,47
6/9/19,6/12/19,Fox News,,1001,rv,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,43,50,6,410,10,89,460,74,18,130,40,43
5/11/19,5/14/19,Fox News,,1008,rv,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,42,50,8,403,9,87,484,72,20,121,33,45
1/20/19,1/22/19,Fox News,,1008,rv,"Do you think President Donald Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,41,49,10,393,9,86,413,71,18,202,44,38
9/16/18,9/19/18,Fox News,,1003,rv,"Do you think President Donald Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,42,47,12,391,10,82,451,73,16,160,32,45
6/3/18,6/6/18,Fox News,,1001,rv,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,39,51,9,370,8,88,470,69,19,160,25,59
6/3/19,6/16/19,Gallup,,1018,a,"Based on what you know about Robert Mueller's investigation into Donald Trump's activities, do you think that Donald Trump should or should not be impeached and removed from office?",reasons,no,45,53,2,334,7,92,278,81,18,382,46,51
9/22/19,9/23/19,HarrisX,ScottRasmussen.com,1006,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,41,15,322,18,74,372,73,11,292,38,42
9/15/19,9/16/19,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,45,45,11,320,16,79,370,76,13,290,35,49
9/8/19,9/9/19,HarrisX,ScottRasmussen.com,1001,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,45,13,320,11,82,370,73,14,290,35,45
9/1/19,9/2/19,HarrisX,ScottRasmussen.com,1001,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,47,10,320,8,88,370,77,15,290,41,41
8/25/19,8/26/19,HarrisX,ScottRasmussen.com,1005,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,45,44,12,321,13,80,372,73,15,291,42,42
8/18/19,8/19/19,HarrisX,ScottRasmussen.com,1001,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,44,14,320,15,76,370,72,16,290,34,47
8/11/19,8/12/19,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,42,14,320,13,80,370,73,12,290,40,40
8/4/19,8/5/19,HarrisX,ScottRasmussen.com,1000,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,46,42,12,320,16,77,370,76,16,290,41,40
7/28/19,7/29/19,HarrisX,ScottRasmussen.com,1001,rv,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,43,14,320,17,81,371,71,13,290,35,43
