"","family","father","mother","sex","height","nkids"
"1","1",78.5,67,"M",73.2,4
"5","2",75.5,66.5,"M",73.5,4
"6","2",75.5,66.5,"M",72.5,4
"9","3",75,64,"M",71,2
"11","4",75,64,"M",70.5,5
"12","4",75,64,"M",68.5,5
"16","5",75,58.5,"M",72,6
"17","5",75,58.5,"M",69,6
"18","5",75,58.5,"M",68,6
"23","7",74,68,"M",76.5,6
"24","7",74,68,"M",74,6
"25","7",74,68,"M",73,6
"26","7",74,68,"M",73,6
"34","11",74,62,"M",74,8
"35","11",74,62,"M",70,8
"43","14",73,67,"M",68,2
"44","14",73,67,"M",67,2
"45","15",73,66.5,"M",71,3
"46","15",73,66.5,"M",70.5,3
"48","16",73,65,"M",72,9
"49","16",73,65,"M",70.5,9
"50","16",73,65,"M",70.2,9
"51","16",73,65,"M",70.2,9
"52","16",73,65,"M",69.2,9
"57","17",73,64.5,"M",74,6
"58","17",73,64.5,"M",73,6
"59","17",73,64.5,"M",71.5,6
"60","17",73,64.5,"M",62.5,6
"67","20",72.7,69,"M",73.2,8
"68","20",72.7,69,"M",73,8
"69","20",72.7,69,"M",72.7,8
"75","21",72,68,"M",73,3
"78","22",72,67,"M",73,3
"79","22",72,67,"M",71,3
"81","23",72,65,"M",74.2,7
"82","23",72,65,"M",70.5,7
"83","23",72,65,"M",69.5,7
"91","26",72,63,"M",70.5,5
"92","26",72,63,"M",70.5,5
"93","26",72,63,"M",69,5
"96","27",72,63,"M",69,3
"97","27",72,63,"M",67,3
"99","28",72,63,"M",73,6
"100","28",72,63,"M",67,6
"109","31",72.5,62,"M",71,6
"110","31",72.5,62,"M",70,6
"111","31",72.5,62,"M",70,6
"115","32",72,62,"M",74,5
"116","32",72,62,"M",72,5
"117","32",72,62,"M",69,5
"120","33",72,62,"M",72,5
"121","33",72,62,"M",71.5,5
"122","33",72,62,"M",71.5,5
"123","33",72,62,"M",70,5
"126","35",71,69,"M",78,5
"127","35",71,69,"M",74,5
"128","35",71,69,"M",73,5
"129","35",71,69,"M",72,5
"131","36",71,67,"M",73.2,4
"132","36",71,67,"M",73,4
"133","36",71,67,"M",69,4
"135","37",71,66,"M",70,4
"139","38",71,66,"M",70,6
"140","38",71,66,"M",69,6
"141","38",71,66,"M",68.5,6
"145","39",71,66,"M",71,2
"147","40",71,66,"M",76,5
"148","40",71,66,"M",72,5
"149","40",71,66,"M",71,5
"150","40",71,66,"M",66,5
"152","41",71.7,65.5,"M",70.5,1
"153","42",71,65.5,"M",72,6
"154","42",71,65.5,"M",72,6
"155","42",71,65.5,"M",71,6
"156","42",71,65.5,"M",69,6
"159","43",71.5,65.5,"M",73,2
"161","44",71.5,65,"M",68.5,2
"162","44",71.5,65,"M",67.7,2
"163","45",71,65,"M",68,3
"164","45",71,65,"M",68,3
"174","47",71.7,64.5,"M",72,4
"175","47",71.7,64.5,"M",71,4
"176","47",71.7,64.5,"M",70.5,4
"178","48",71,64,"M",68,3
"179","48",71,64,"M",68,3
"180","48",71,64,"M",68,3
"181","49",71.5,64.5,"M",72,7
"182","49",71.5,64.5,"M",71,7
"183","49",71.5,64.5,"M",70,7
"190","52",71,63.5,"M",71,5
"191","52",71,63.5,"M",67,5
"195","53",71,63,"M",71,9
"196","53",71,63,"M",70,9
"197","53",71,63,"M",70,9
"198","53",71,63,"M",64,9
"204","54",71,63,"M",71,4
"205","54",71,63,"M",71,4
"206","54",71,63,"M",70,4
"208","55",71,62,"M",71,5
"209","55",71,62,"M",70,5
"213","56",71,62,"M",72,5
"214","56",71,62,"M",70.5,5
"215","56",71,62,"M",70.5,5
"218","57",71,62.5,"M",70,5
"223","58",71,62,"M",70.5,7
"224","58",71,62,"M",70,7
"225","58",71,62,"M",69,7
"226","58",71,62,"M",69,7
"227","58",71,62,"M",66,7
"231","60",71,58,"M",71.5,2
"232","60",71,58,"M",69,2
"233","61",70,69,"M",71,4
"234","61",70,69,"M",70,4
"235","61",70,69,"M",69,4
"237","62",70,69,"M",70,6
"238","62",70,69,"M",68.7,6
"243","63",70,68,"M",75,1
"244","64",70,67,"M",70,5
"245","64",70,67,"M",69,5
"250","66",70,66.5,"M",73,11
"251","66",70,66.5,"M",72,11
"252","66",70,66.5,"M",72,11
"253","66",70,66.5,"M",66.5,11
"261","67",70.5,65,"M",72,4
"262","67",70.5,65,"M",70.2,4
"263","67",70.5,65,"M",69,4
"264","67",70.5,65,"M",68.5,4
"270","69",70,65,"M",73,8
"271","69",70,65,"M",72,8
"272","69",70,65,"M",70.5,8
"273","69",70,65,"M",65,8
"274","69",70,65,"M",65,8
"278","70",70,65,"M",67,5
"279","70",70,65,"M",65,5
"283","71",70,65,"M",70,6
"284","71",70,65,"M",70,6
"289","72",70,65,"M",79,7
"290","72",70,65,"M",75,7
"291","72",70,65,"M",71,7
"296","73",70,65,"M",73,3
"297","73",70,65,"M",72.5,3
"299","74",70,65,"M",69,2
"300","74",70,65,"M",69,2
"301","75",70,64.7,"M",72,7
"302","75",70,64.7,"M",70,7
"303","75",70,64.7,"M",68.7,7
"308","76",70,64,"M",70.7,7
"309","76",70,64,"M",70,7
"310","76",70,64,"M",68,7
"311","76",70,64,"M",67,7
"312","76",70,64,"M",66,7
"313","76",70,64,"M",65,7
"315","77",70,64,"M",70,4
"316","77",70,64,"M",68,4
"317","77",70,64,"M",66.7,4
"319","78",70,64.2,"M",72,5
"320","78",70,64.2,"M",70,5
"324","79",70.5,64,"M",74,8
"325","79",70.5,64,"M",69.5,8
"326","79",70.5,64,"M",69,8
"327","79",70.5,64,"M",68,8
"328","79",70.5,64,"M",68,8
"329","79",70.5,64,"M",68,8
"333","81",70,64,"M",68,4
"337","82",70,64,"M",71,9
"338","82",70,64,"M",70,9
"339","82",70,64,"M",70,9
"340","82",70,64,"M",70,9
"341","82",70,64,"M",69.5,9
"342","82",70,64,"M",68.5,9
"346","83",70,63.7,"M",70,8
"347","83",70,63.7,"M",67,8
"348","83",70,63.7,"M",65.5,8
"354","85",70.5,63,"M",72.5,5
"355","85",70.5,63,"M",69,5
"356","85",70.5,63,"M",67,5
"359","86",70,63.5,"M",71,4
"360","86",70,63.5,"M",67.5,4
"363","87",70,63,"M",68,4
"364","87",70,63,"M",67,4
"367","88",70,63,"M",70,4
"368","88",70,63,"M",66.5,4
"371","89",70.5,62,"M",72,8
"372","89",70.5,62,"M",70,8
"373","89",70.5,62,"M",69.5,8
"374","89",70.5,62,"M",69.5,8
"375","89",70.5,62,"M",68,8
"379","90",70.3,62.7,"M",70.7,7
"380","90",70.3,62.7,"M",69.7,7
"381","90",70.3,62.7,"M",69.2,7
"382","90",70.3,62.7,"M",65.2,7
"386","91",70.5,62,"M",72,3
"387","91",70.5,62,"M",72,3
"389","92",70,61,"M",71.2,2
"390","92",70,61,"M",67,2
"391","93",70,60,"M",67,4
"392","93",70,60,"M",64.5,4
"397","95",70,58.5,"M",71.5,3
"398","95",70,58.5,"M",64.5,3
"400","96",70,58,"M",72,5
"401","96",70,58,"M",66,5
"405","97",69,68.5,"M",75,10
"406","97",69,68.5,"M",71,10
"407","97",69,68.5,"M",70,10
"416","99",69,66,"M",73,8
"417","99",69,66,"M",72,8
"418","99",69,66,"M",71.7,8
"419","99",69,66,"M",71.5,8
"424","100",69,66,"M",71.2,3
"425","100",69,66,"M",71,3
"426","100",69,66,"M",70,3
"427","101",69,66.7,"M",75,6
"428","101",69,66.7,"M",74,6
"429","101",69,66.7,"M",72,6
"430","101",69,66.7,"M",68.5,6
"431","101",69,66.7,"M",67,6
"432","101",69,66.7,"M",66,6
"433","102",69,66,"M",70,6
"434","102",69,66,"M",68.5,6
"435","102",69,66,"M",68,6
"439","103",69,66.5,"M",73,5
"440","103",69,66.5,"M",71,5
"441","103",69,66.5,"M",70.5,5
"442","103",69,66.5,"M",70.5,5
"444","104",69.5,66.5,"M",70.5,4
"445","104",69.5,66.5,"M",67.5,4
"448","105",69,66.5,"M",71,6
"454","106",69.5,66,"M",71,7
"455","106",69.5,66,"M",71,7
"456","106",69.5,66,"M",70.5,7
"457","106",69.5,66,"M",70.5,7
"461","107",69,66,"M",73,9
"462","107",69,66,"M",72,9
"463","107",69,66,"M",69,9
"464","107",69,66,"M",69,9
"470","108",69,65,"M",70,7
"471","108",69,65,"M",68.5,7
"472","108",69,65,"M",67,7
"477","109",69.5,64.5,"M",69.7,7
"478","109",69.5,64.5,"M",68,7
"479","109",69.5,64.5,"M",60,7
"484","110",69.2,64,"M",71.7,4
"485","110",69.2,64,"M",66.5,4
"488","112",69,63,"M",69,3
"491","113",69,63,"M",72,1
"492","114",69,63,"M",73,6
"493","114",69,63,"M",70,6
"494","114",69,63,"M",70,6
"495","114",69,63,"M",64,6
"498","115",69,63.5,"M",70.5,7
"499","115",69,63.5,"M",67,7
"500","115",69,63.5,"M",66,7
"505","116",69,63.5,"M",70.5,3
"509","118",69.5,62,"M",73,3
"510","118",69.5,62,"M",72,3
"511","118",69.5,62,"M",69,3
"512","119",69,62,"M",73,5
"513","119",69,62,"M",71,5
"514","119",69,62,"M",71,5
"515","119",69,62,"M",69,5
"517","121",69,62.5,"M",71,8
"518","121",69,62.5,"M",70,8
"519","121",69,62.5,"M",70,8
"520","121",69,62.5,"M",69,8
"525","122",69,62,"M",72,4
"526","122",69,62,"M",68,4
"529","123",69.5,61,"M",70,5
"530","123",69.5,61,"M",69.5,5
"531","123",69.5,61,"M",69,5
"534","124",69,61,"M",68,9
"535","124",69,61,"M",68,9
"536","124",69,61,"M",67.5,9
"537","124",69,61,"M",64,9
"538","124",69,61,"M",63,9
"539","124",69,61,"M",63,9
"543","125",69,60,"M",70.5,3
"546","126",69,60,"M",69,4
"547","126",69,60,"M",66,4
"550","127",69,60.5,"M",69.5,1
"551","128",68.7,70.5,"M",71,2
"553","129",68.5,67,"M",73,3
"554","129",68.5,67,"M",71,3
"556","130",68.5,66.5,"M",70,11
"557","130",68.5,66.5,"M",69,11
"558","130",68.5,66.5,"M",69,11
"559","130",68.5,66.5,"M",68.7,11
"560","130",68.5,66.5,"M",68.5,11
"561","130",68.5,66.5,"M",68.5,11
"562","130",68.5,66.5,"M",68,11
"563","130",68.5,66.5,"M",68,11
"564","130",68.5,66.5,"M",68,11
"566","131",68,65,"M",67.5,2
"567","131",68,65,"M",66,2
"568","132",68,65.5,"M",66,2
"570","133",68,65.5,"M",71.7,7
"571","133",68,65.5,"M",71.5,7
"572","133",68,65.5,"M",70.7,7
"573","133",68,65.5,"M",65.5,7
"577","134",68,65,"M",72,4
"578","134",68,65,"M",72,4
"581","135",68.5,65,"M",69.2,8
"582","135",68.5,65,"M",68,8
"583","135",68.5,65,"M",66,8
"584","135",68.5,65,"M",66,8
"589","136",68,64,"M",71,10
"590","136",68,64,"M",68,10
"591","136",68,64,"M",68,10
"592","136",68,64,"M",67,10
"599","137",68,64,"M",66,4
"600","137",68,64,"M",63,4
"603","138",68,64,"M",71.2,5
"604","138",68,64,"M",71.2,5
"605","138",68,64,"M",69,5
"606","138",68,64,"M",68.5,5
"609","140",68,64,"M",69,10
"610","140",68,64,"M",67,10
"611","140",68,64,"M",66,10
"619","141",68,63,"M",70.5,8
"620","141",68,63,"M",70,8
"621","141",68,63,"M",68,8
"622","141",68,63,"M",66,8
"623","141",68,63,"M",66,8
"627","142",68.5,63.5,"M",73.5,4
"628","142",68.5,63.5,"M",70,4
"629","142",68.5,63.5,"M",69.5,4
"631","143",68,63,"M",67,1
"632","144",68,63,"M",70,4
"633","144",68,63,"M",68,4
"636","145",68,63,"M",71,8
"637","145",68,63,"M",68,8
"638","145",68,63,"M",66,8
"639","145",68,63,"M",65.5,8
"640","145",68,63,"M",65,8
"644","146",68,63,"M",67,6
"645","146",68,63,"M",67,6
"646","146",68,63,"M",66,6
"650","147",68.5,63.5,"M",68.2,1
"651","148",68,63,"M",70,1
"652","149",68.2,63.5,"M",70,5
"653","149",68.2,63.5,"M",69,5
"654","149",68.2,63.5,"M",67,5
"655","149",68.2,63.5,"M",65.5,5
"657","150",68,62.5,"M",68.5,1
"658","151",68.7,62,"M",67.7,2
"660","152",68,62.5,"M",66.5,1
"661","153",68,61,"M",68.5,5
"662","153",68,61,"M",68,5
"663","153",68,61,"M",64,5
"666","154",68,60.2,"M",66.7,1
"667","155",68,60,"M",64,7
"674","156",68,60,"M",67.5,4
"675","156",68,60,"M",67,4
"676","156",68,60,"M",66.5,4
"678","157",68.5,59,"M",69,1
"679","158",68,59,"M",68,10
"680","158",68,59,"M",65,10
"681","158",68,59,"M",64.7,10
"682","158",68,59,"M",64,10
"683","158",68,59,"M",64,10
"684","158",68,59,"M",63,10
"689","159",67,66.2,"M",72.7,5
"690","159",67,66.2,"M",72.7,5
"691","159",67,66.2,"M",71.5,5
"694","160",67,66.5,"M",71,1
"695","162",67,65,"M",69.7,6
"696","162",67,65,"M",67.5,6
"701","163",67,65.5,"M",70,5
"702","163",67,65.5,"M",69,5
"706","164",67,65.5,"M",70,4
"707","164",67,65.5,"M",67.7,4
"710","165",67,65,"M",65,3
"713","166",67.5,65,"M",71,11
"714","166",67.5,65,"M",69,11
"724","167",67,64,"M",71.5,4
"725","167",67,64,"M",70,4
"726","167",67,64,"M",67,4
"727","167",67,64,"M",67,4
"728","168",67,63.5,"M",71,8
"729","168",67,63.5,"M",70.2,8
"730","168",67,63.5,"M",69.2,8
"731","168",67,63.5,"M",68.5,8
"732","168",67,63.5,"M",68,8
"733","168",67,63.5,"M",67,8
"734","168",67,63.5,"M",65.5,8
"736","169",67,63,"M",69,3
"737","169",67,63,"M",68,3
"739","170",67.5,62,"M",70,5
"740","170",67.5,62,"M",69.5,5
"741","170",67.5,62,"M",69,5
"742","170",67.5,62,"M",68.5,5
"744","171",67,61,"M",67,1
"745","172",66,67,"M",70.5,8
"746","172",66,67,"M",70.5,8
"747","172",66,67,"M",67,8
"748","172",66,67,"M",66,8
"749","172",66,67,"M",66,8
"753","173",66,67,"M",72,9
"754","173",66,67,"M",65,9
"755","173",66,67,"M",65,9
"762","174",66,66,"M",66,5
"763","174",66,66,"M",65,5
"767","175",66,66,"M",72,6
"768","175",66,66,"M",68,6
"773","176",66.5,65,"M",68.7,8
"774","176",66.5,65,"M",68.5,8
"775","176",66.5,65,"M",66.5,8
"776","176",66.5,65,"M",64.5,8
"781","177",66,65.5,"M",72,5
"782","177",66,65.5,"M",71,5
"783","177",66,65.5,"M",67,5
"786","178",66,63,"M",70,1
"789","180",66.5,63,"M",67.2,6
"790","180",66.5,63,"M",67,6
"791","180",66.5,63,"M",65,6
"795","181",66.5,62.5,"M",70,7
"796","181",66.5,62.5,"M",68,7
"802","182",66,61.5,"M",70,1
"803","183",66,60,"M",68,4
"804","183",66,60,"M",67,4
"805","183",66,60,"M",65,4
"807","184",66,60,"M",65,1
"808","185",66,59,"M",68,15
"809","185",66,59,"M",67,15
"810","185",66,59,"M",66.5,15
"811","185",66,59,"M",66,15
"812","185",66,59,"M",65.7,15
"813","185",66,59,"M",65.5,15
"814","185",66,59,"M",65,15
"823","186",65,67,"M",66.5,4
"824","186",65,67,"M",66,4
"825","186",65,67,"M",66,4
"828","188",65,66,"M",63,4
"832","190",65,65,"M",69,9
"833","190",65,65,"M",68,9
"834","190",65,65,"M",68,9
"841","191",65,65.5,"M",70.7,2
"843","192",65,65,"M",69.2,6
"844","192",65,65,"M",69,6
"845","192",65,65,"M",68,6
"846","192",65,65,"M",67.7,6
"849","193",65,64,"M",67,6
"850","193",65,64,"M",67,6
"855","194",65,63,"M",70,2
"857","195",65,63,"M",66,3
"858","195",65,63,"M",66,3
"860","196",65.5,63,"M",71,4
"861","196",65.5,63,"M",71,4
"862","196",65.5,63,"M",69,4
"864","197",65.5,60,"M",68,5
"865","197",65.5,60,"M",68,5
"866","197",65.5,60,"M",67,5
"867","197",65.5,60,"M",67,5
"869","198",64,64,"M",71.5,7
"870","198",64,64,"M",68,7
"876","199",64,64,"M",70.5,7
"877","199",64,64,"M",68,7
"883","200",64,63,"M",64.5,1
"884","201",64,60,"M",66,2
"886","203",62,66,"M",64,3
"889","204",62.5,63,"M",66.5,2
"891","136A",68.5,65,"M",72,8
"892","136A",68.5,65,"M",70.5,8
"893","136A",68.5,65,"M",68.7,8
"894","136A",68.5,65,"M",68.5,8
"895","136A",68.5,65,"M",67.7,8
