"","doctor","difficulty","outcome"
"1","Nick","easy","failure"
"2","Nick","easy","failure"
"3","Nick","easy","failure"
"4","Nick","easy","failure"
"5","Nick","easy","failure"
"6","Nick","easy","failure"
"7","Nick","easy","failure"
"8","Nick","easy","failure"
"9","Nick","easy","failure"
"10","Nick","easy","failure"
"11","Nick","easy","failure"
"12","Nick","easy","failure"
"13","Nick","easy","failure"
"14","Nick","easy","failure"
"15","Nick","easy","failure"
"16","Nick","easy","failure"
"17","Nick","easy","failure"
"18","Nick","easy","failure"
"19","Nick","easy","failure"
"20","Nick","easy","failure"
"21","Nick","easy","failure"
"22","Nick","easy","failure"
"23","Nick","easy","failure"
"24","Nick","easy","failure"
"25","Nick","easy","failure"
"26","Nick","easy","success"
"27","Nick","easy","success"
"28","Nick","easy","success"
"29","Nick","easy","success"
"30","Nick","easy","success"
"31","Nick","easy","success"
"32","Nick","easy","success"
"33","Nick","easy","success"
"34","Nick","easy","success"
"35","Nick","easy","success"
"36","Nick","easy","success"
"37","Nick","easy","success"
"38","Nick","easy","success"
"39","Nick","easy","success"
"40","Nick","easy","success"
"41","Nick","easy","success"
"42","Nick","easy","success"
"43","Nick","easy","success"
"44","Nick","easy","success"
"45","Nick","easy","success"
"46","Nick","easy","success"
"47","Nick","easy","success"
"48","Nick","easy","success"
"49","Nick","easy","success"
"50","Nick","easy","success"
"51","Nick","easy","success"
"52","Nick","easy","success"
"53","Nick","easy","success"
"54","Nick","easy","success"
"55","Nick","easy","success"
"56","Nick","easy","success"
"57","Nick","easy","success"
"58","Nick","easy","success"
"59","Nick","easy","success"
"60","Nick","easy","success"
"61","Nick","easy","success"
"62","Nick","easy","success"
"63","Nick","easy","success"
"64","Nick","easy","success"
"65","Nick","easy","success"
"66","Nick","easy","success"
"67","Nick","easy","success"
"68","Nick","easy","success"
"69","Nick","easy","success"
"70","Nick","easy","success"
"71","Nick","easy","success"
"72","Nick","easy","success"
"73","Nick","easy","success"
