Have you used R before?,What types of stats applications interest you?,How old are you?,Are you from NYC?,"If you are from NYC, where from?","If you are not from NYC, where are you from?",What program are you in?,Do you work?,"If you work, how many hours a week?",Which baseball team do you prefer?,Which football team do you prefer?,Which basketball team do you prefer?,Are you left- or right-handed?,How many languages do you speak?,"If you had a superpower, what would that be?",What is your favorite food?,What do you expect to get out of this course?
No,"Business, Economics",Less than 25,No,,,Quantitative methods and modeling,No,,I don't care,I don't care,I don't care,I'm right-handed,2,invisibility,lemon tea,
No,"Business, Health, Sports, Sociology/Social science",Between 25 and 30,No,,CHINA,STATISTICS,Yes,More than 20 hours but not full time,I don't care,I don't care,I don't care,I'm right-handed,2.5,Pop up from air ,Ramen,Fun data programming skills 
No,"Business, Politics, Health, Sports",Between 25 and 30,Yes,Queens,,QMM,No,,Yankees,Giants,Knicks,I'm right-handed,3,Flight,Thai Food,Practical knowledge that I can use in securing a job and within my career
Yes,"Business, Economics, Sociology/Social science",Between 25 and 30,No,,China,Quantitative Methods and Modeling,No,,I don't care,I don't care,I don't care,I'm right-handed,2,Invisible,Noodles,Practicing my programming ability.
Yes,"Business, Economics, Politics, Health, Sports, Sociology/Social science",Between 25 and 30,No,,Jersey city,Statistics,No,,Yankees,I don't care,I don't care,I'm right-handed,3,To wake up everyday stress free,Pizza,A good understanding of R/Python
No,"Business, Economics",Less than 25,No,,China ,QMM,No,,I don't care,I don't care,I don't care,I'm right-handed,2,Be in wherever I want to go immediately ,Dumpling,I have not learned R programming. Hope this course make it relatively easier to use a programming language to deal with data.
No,"Business, Health, Sports",Between 25 and 30,No,,"Originally Philadelphia, been in NYC for 4 years",MBA,No,,Yankees,I don't care,I don't care,I'm right-handed,3,self-teleportation,Nachos,"Basic understanding of R, ability to play with and perform some data analysis on any set of data I could find."
No,Business,Between 25 and 30,No,,NJ,MS Statistics,Yes,"Actually, I work full time",I don't care,I don't care,I don't care,I'm right-handed,2,time travel,yogurt,R skills
Yes,"Business, Economics, Sociology/Social science, Spatial",Between 25 and 30,No,,New Orleans,MS Statisitcs,Yes,"Actually, I work full time",I don't care,I don't care,Nets,I'm right-handed,1,I just wish I could dunk,Chips and Salsa,R Refresher
Yes,"Business, Health",Between 25 and 30,Yes,Manhattan,,MS,Yes,More than 20 hours but not full time,I don't care,I don't care,I don't care,I'm right-handed,3,Invisibility,Noodles,
