"","tweet_id","date","complaint_label","tweet_text","usr_followers_count","usr_verified"
"1",476878399353266176,2014-06-12 00:07:25,"Non-Complaint","1. Haneda. 2. I'll go to a corner st in Tokyo and do a selfie, upload it on Twitter with the hashtag #KantoTokyo @flyPAL #PALfliesHaneda",152,FALSE
"2",476879680726110208,2014-06-12 00:12:30,"Non-Complaint","My plane to Germany! Holy crap. Can't wait for 16 days of theme parks. @SingaporeAir http://t.co/R2yJ7kQ1hy",184,FALSE
"3",476880040479969280,2014-06-12 00:13:56,"Complaint","So apparently @USAirways changes departing gates on flights in Philly without any type of notification #unsatisfiedcustomer",136,FALSE
"4",476880597705428992,2014-06-12 00:16:09,"Non-Complaint","Je supporte le #Canada dès 549€ à la battle @AirfranceFR #JeuAF http://t.co/QSFN0JWni7",1,FALSE
"5",476880967605317632,2014-06-12 00:17:37,"Non-Complaint","Dear @CebuPacificAir, thanks for the early ChristmasGift. Yesterday, we were able to book an international flight thru your PISO fare promo.",67,FALSE
"6",476881268505055232,2014-06-12 00:18:49,"Complaint","Boo @Delta just cancelled the flight that they had already rescheduled. Now my itinerary is all weird online &amp; lost my upgrade position. :(",138,FALSE
"7",476883252334977024,2014-06-12 00:26:42,"Non-Complaint","#PALFliesHaneda @flyPAL @RX931 Haneda; UenoPark &amp; see Sakura den make mtv while singing Sakura..Sakuraa..Sakuraaa..🌸🎶😁 @chicogarcia version😜",21,FALSE
"8",476884370570375168,2014-06-12 00:31:08,"Complaint","@JetBlue you need to get your act together and get way nicer staff in the cancun airport were on an over 7 hr delay and they are awful 👎👎👎",133,FALSE
"9",476885456110370816,2014-06-12 00:35:27,"Non-Complaint","Celebrating @SouthwestAir's Gary Kelly at the #aimeawards http://t.co/rz4mgHYG3Q",607,FALSE
"10",476888310032637952,2014-06-12 00:46:47,"Non-Complaint","Don't do this to me, @Delta. Don't you dare.",165,FALSE
"11",476888870009585664,2014-06-12 00:49:01,"Non-Complaint","¡Es el momento de descubrir Chile y Argentina!  ¡@LANAirlinesSP ofrece un 20% de descuento en sus vuelos internos! http://t.co/H9CFYHQzRU",89,FALSE
"12",476888939689566208,2014-06-12 00:49:18,"Complaint","@TheRealKerstin gave up on @USAirways after 2:48 hours on hold",221,FALSE
"13",476890257070489600,2014-06-12 00:54:32,"Complaint","@AmericanAir worst customer service in JAX airport today. Flight delayed 10x and only 2 staff to help stranded passengers. Whole day wasted!",10,FALSE
"14",476891280874561536,2014-06-12 00:58:36,"Complaint","I strongly advise avoiding @united for your flights.  What a pathetic excuse of a company",158,FALSE
"15",476893813990891520,2014-06-12 01:08:40,"Complaint","@donclifford do not anymore fly with @flyPAL. They have the worst service, delayed and over booked flights.",55,FALSE
"16",476896243918966784,2014-06-12 01:18:19,"Non-Complaint","@Saudi_Airlines على زق",844,FALSE
"17",476898579848908800,2014-06-12 01:27:36,"Complaint","@USAirways flight was supposed to leave at 5:55 from PHA to FLL and now it says 9:31. Will we board and take off tonight?",995,FALSE
"18",476899542663581696,2014-06-12 01:31:25,"Non-Complaint","I just entered #WorldMarket Summer Getaway Sweeps for a chance to win a trip for 4 on @SouthwestAir. http://t.co/TKcyRwjg3l #SummerGetaway",197,FALSE
"19",476903091569057792,2014-06-12 01:45:32,"Non-Complaint","@AirAsia Does Malaysian flying from KL to Tawau need to bring passport?",0,FALSE
