"","grades","self.esteem","happiness","male","age","confidence"
"1",6,5,6,1,15,5
"2",7,5,5,1,15,4
"3",7,7,4,1,15,5
"4",8,4,8,1,15,5
"5",4,3,5,1,14,4
"6",4,4,7,1,15,6
"7",9,7,8,1,17,5
"8",5,0,4,1,15,6
"9",8,7,7,1,16,3
"10",4,3,4,1,15,3
"11",6,6,4,1,15,5
"12",8,4,3,1,15,6
"13",9,6,10,1,16,4
"14",6,6,6,1,14,6
"15",6,2,4,1,14,4
"16",3,4,3,1,15,6
"17",5,7,5,1,16,5
"18",4,3,4,1,15,5
"19",4,4,4,1,16,5
"20",6,8,6,1,13,5
"21",6,5,7,1,15,4
"22",9,8,6,1,17,5
"23",8,6,4,1,15,7
"24",4,3,4,1,16,6
"25",6,5,7,1,15,3
"26",5,7,8,1,16,4
"27",7,3,4,1,15,6
"28",6,4,4,1,15,6
"29",6,6,5,1,15,5
"30",7,8,7,1,15,3
"31",5,5,9,1,16,6
"32",6,6,7,1,16,5
"33",4,3,6,1,14,6
"34",4,4,6,1,15,5
"35",4,4,6,1,15,4
"36",7,6,7,1,14,6
"37",7,4,6,1,17,5
"38",5,1,0,1,14,4
"39",5,3,4,1,14,7
"40",5,4,7,1,14,5
"41",6,4,5,1,15,5
"42",4,2,2,1,15,3
"43",6,3,4,1,15,6
"44",6,5,3,1,15,7
"45",6,5,4,1,15,6
"46",6,6,7,1,16,4
"47",8,4,4,1,15,5
"48",5,3,3,1,14,5
"49",8,6,4,1,16,4
"50",4,3,5,1,13,5
"51",7,6,5,0,14,4
"52",7,6,7,0,15,3
"53",9,4,6,0,16,6
"54",5,7,7,0,15,6
"55",6,3,4,0,15,5
"56",0,4,6,0,16,4
"57",5,9,10,0,17,7
"58",6,2,2,0,13,3
"59",10,10,8,0,15,4
"60",4,3,6,0,16,3
"61",6,6,5,0,14,4
"62",8,8,9,0,16,5
"63",4,3,3,0,14,5
"64",7,5,5,0,15,7
"65",7,5,3,0,16,3
"66",7,5,5,0,15,5
"67",4,6,4,0,14,5
"68",4,5,7,0,16,6
"69",6,4,5,0,15,6
"70",6,4,4,0,15,7
"71",7,6,5,0,14,3
"72",4,5,3,0,14,5
"73",5,2,3,0,16,5
"74",4,3,4,0,15,5
"75",7,6,10,0,16,6
"76",5,5,4,0,17,5
"77",8,5,6,0,14,5
"78",5,2,4,0,17,5
"79",8,6,7,0,15,4
"80",8,7,7,0,16,6
"81",6,5,4,0,15,5
"82",4,2,1,0,16,5
"83",7,7,8,0,15,5
"84",6,6,5,0,15,5
"85",5,6,6,0,15,5
"86",6,3,3,0,14,6
"87",8,8,5,0,14,4
"88",9,6,9,0,14,7
"89",8,8,8,0,15,4
"90",9,7,8,0,15,4
"91",3,5,6,0,15,5
"92",7,6,5,0,16,6
"93",8,8,4,0,14,4
"94",7,3,6,0,15,5
"95",6,7,5,0,15,4
"96",5,2,2,0,16,3
"97",8,4,1,0,15,5
"98",7,4,5,0,15,6
"99",2,2,1,0,14,5
"100",5,4,5,0,14,5
