source,text,created_at,retweet_count,favorite_count,id_str,utc_timestamp,est_timestamp,year,month,source2
Twitter for iPhone,...Remember this. Throughout the ages some things NEVER get better and NEVER change. You have Walls and you have Wheels. It was ALWAYS that way and it will ALWAYS be that way! Please explain to the Democrats that there can NEVER be a replacement for a good old fashioned WALL!,2019 Jan 01 01:05:39 ,28529,135209,1079906462753869825,2019-01-01T01:05:39Z,2019-01-01T01:05:39Z,2018,12,trump
Twitter for iPhone,"The Democrats will probably submit a Bill, being cute as always, which gives everything away but gives NOTHING to Border Security, namely the Wall. You see, without the Wall there can be no Border Security - the Tech “stuff” is just, by comparison, meaningless bells  whistles...",2019 Jan 01 00:51:43 ,22897,99239,1079902957938925568,2019-01-01T00:51:43Z,2019-01-01T00:51:43Z,2018,12,trump
Twitter for iPhone,"MEXICO IS PAYING FOR THE WALL through the many billions of dollars a year that the U.S.A. is saving through the new Trade Deal, the USMCA, that will replace the horrendous NAFTA Trade Deal, which has so badly hurt our Country. Mexico  Canada will also thrive - good for all!",2019 Jan 01 00:40:26 ,23882,104440,1079900120047603713,2019-01-01T00:40:26Z,2019-01-01T00:40:26Z,2018,12,trump
Twitter for iPhone,HAPPY NEW YEAR! ,2018 Dec 31 23:53:06 ,32999,132907,1079888205351145472,2018-12-31T23:53:06Z,2018-12-31T23:53:06Z,2018,12,trump
Twitter for iPhone,Heads of countries are calling wanting to know why Senator Schumer is not approving their otherwise approved Ambassadors!? Likewise in Government lawyers and others are being delayed at a record pace! 360 great and hardworking people are waiting for approval from....,2018 Dec 31 20:02:52 ,20519,74566,1079830267274108930,2018-12-31T20:02:52Z,2018-12-31T20:02:52Z,2018,12,trump
Twitter for iPhone,"....Senator Schumer, more than a year longer than any other Administration in history. These are people who have been approved by committees and all others, yet Schumer continues to hold them back from serving their Country! Very Unfair!",2018 Dec 31 20:02:52 ,17027,63013,1079830268708556800,2018-12-31T20:02:52Z,2018-12-31T20:02:52Z,2018,12,trump
Twitter for iPhone,"It’s incredible how Democrats can all use their ridiculous sound bite and say that a Wall doesn’t work. It does, and properly built, almost 100%! They say it’s old technology - but so is the wheel. They now say it is immoral- but it is far more immoral for people to be dying!",2018 Dec 31 15:39:15 ,29355,125931,1079763923845419009,2018-12-31T15:39:15Z,2018-12-31T15:39:15Z,2018,12,trump
Twitter for iPhone,"I’m in the Oval Office. Democrats, come back from vacation now and give us the votes necessary for Border Security, including the Wall. You voted yes in 2006 and 2013. One more yes, but with me in office, I’ll get it built, and Fast!",2018 Dec 31 15:37:14 ,30742,131151,1079763419908243456,2018-12-31T15:37:14Z,2018-12-31T15:37:14Z,2018,12,trump
Twitter for iPhone,"I’m in the Oval Office. Democrats, come back from vacation now and give us the votes necessary for Border Security, including the Wall. You voted yes in 2006 and 3013. One more yes, but with me in office, I’ll get it built, and Fast!",2018 Dec 31 15:33:15 ,1123,4217,1079762413589807104,2018-12-31T15:33:15Z,2018-12-31T15:33:15Z,2018,12,trump
Twitter for iPhone,"I am the only person in America who could say that, “I’m bringing our great troops back home, with victory,” and get BAD press. It is Fake News and Pundits who have FAILED for years that are doing the complaining. If I stayed in Endless Wars forever, they would still be unhappy!",2018 Dec 31 14:38:52 ,25252,111582,1079748730058870789,2018-12-31T14:38:52Z,2018-12-31T14:38:52Z,2018,12,trump
